Exp Category,State,Year,Value
Aggregate_Expenditure,Andhra Pradesh ,1980-81,1610.0
Aggregate_Expenditure,Andhra Pradesh ,1981-82,1831.0
Aggregate_Expenditure,Andhra Pradesh ,1982-83,1933.0
Aggregate_Expenditure,Andhra Pradesh ,1983-84,2588.0
Aggregate_Expenditure,Andhra Pradesh ,1984-85,3119.0
Aggregate_Expenditure,Andhra Pradesh ,1985-86,3413.0
Aggregate_Expenditure,Andhra Pradesh ,1986-87,4068.0
Aggregate_Expenditure,Andhra Pradesh ,1987-88,4294.0
Aggregate_Expenditure,Andhra Pradesh ,1988-89,5223.0
Aggregate_Expenditure,Andhra Pradesh ,1989-90,5768.0
Aggregate_Expenditure,Andhra Pradesh ,1990-91,6581.0
Aggregate_Expenditure,Andhra Pradesh ,1991-92,7758.0
Aggregate_Expenditure,Andhra Pradesh ,1992-93,8984.0
Aggregate_Expenditure,Andhra Pradesh ,1993-94,10541.0
Aggregate_Expenditure,Andhra Pradesh ,1994-95,12459.0
Aggregate_Expenditure,Andhra Pradesh ,1995-96,14301.0
Aggregate_Expenditure,Andhra Pradesh ,1996-97,16265.0
Aggregate_Expenditure,Andhra Pradesh ,1997-98,17745.0
Aggregate_Expenditure,Andhra Pradesh ,1998-99,21958.0
Aggregate_Expenditure,Andhra Pradesh ,1999-00,22767.0
Aggregate_Expenditure,Andhra Pradesh ,2000-01,28119.0
Aggregate_Expenditure,Andhra Pradesh ,2001-02,31074.0
Aggregate_Expenditure,Andhra Pradesh ,2002-03,34373.0
Aggregate_Expenditure,Andhra Pradesh ,2003-04,40120.0
Aggregate_Expenditure,Andhra Pradesh ,2004-05,47153.0
Aggregate_Expenditure,Andhra Pradesh ,2005-06,48306.0
Aggregate_Expenditure,Andhra Pradesh ,2006-07,56648.0
Aggregate_Expenditure,Andhra Pradesh ,2007-08,74875.0
Aggregate_Expenditure,Andhra Pradesh ,2008-09,80803.89
Aggregate_Expenditure,Andhra Pradesh ,2009-10,85074.79
Aggregate_Expenditure,Andhra Pradesh ,2010-11,100635.64
Aggregate_Expenditure,Andhra Pradesh ,2011-12,115881.55
Aggregate_Expenditure,Andhra Pradesh ,2012-13,129440.92
Aggregate_Expenditure,Andhra Pradesh ,2013-14,136629.27
Aggregate_Expenditure,Andhra Pradesh ,2014-15,111067.46
Aggregate_Expenditure,Andhra Pradesh ,2015-16,112048.99
