State,Year,Value
Andhra Pradesh,1980-81,1610.0
Bihar,1980-81,1791.0
Chhattisgarh,1980-81,11276.0
Goa,1980-81,1738.7916666666667
Gujarat,1980-81,1442.0
Haryana,1980-81,607.0
Jharkhand,1980-81,14472.444444444445
Karnataka,1980-81,1302.0
Kerala,1980-81,855.0
Madhya Pradesh,1980-81,1590.0
Maharashtra,1980-81,2613.0
Orissa,1980-81,877.0
Punjab,1980-81,817.0
Rajasthan,1980-81,1120.0
Tamil Nadu,1980-81,1686.0
Uttar Pradesh,1980-81,2668.0
West Bengal,1980-81,1552.0
Arunachal Pradesh,1980-81,1444.0833333333333
Assam,1980-81,758.0
Himachal Pradesh,1980-81,338.0
Jammu and Kashmir,1980-81,428.0
Manipur,1980-81,159.0
Meghalaya,1980-81,102.0
Mizoram,1980-81,1179.16
Nagaland,1980-81,164.0
Sikkim,1980-81,43.0
Tripura,1980-81,143.0
Uttarakhand,1980-81,7286.1
NCT Delhi,1980-81,9527.70588235294
Puducherry,1980-81,2987.4
Andhra Pradesh,1981-82,1831.0
Bihar,1981-82,1871.0
Chhattisgarh,1981-82,11276.0
Goa,1981-82,1738.7916666666667
Gujarat,1981-82,1565.0
Haryana,1981-82,696.0
Jharkhand,1981-82,14472.444444444445
Karnataka,1981-82,1409.0
Kerala,1981-82,1086.0
Madhya Pradesh,1981-82,1677.0
Maharashtra,1981-82,3088.0
Orissa,1981-82,814.0
Punjab,1981-82,996.0
Rajasthan,1981-82,1360.0
Tamil Nadu,1981-82,2006.0
Uttar Pradesh,1981-82,2942.0
West Bengal,1981-82,1838.0
Arunachal Pradesh,1981-82,1444.0833333333333
Assam,1981-82,618.0
Himachal Pradesh,1981-82,297.0
Jammu and Kashmir,1981-82,548.0
Manipur,1981-82,128.0
Meghalaya,1981-82,101.0
Mizoram,1981-82,1179.16
Nagaland,1981-82,132.0
Sikkim,1981-82,45.0
Tripura,1981-82,124.0
Uttarakhand,1981-82,7286.1
NCT Delhi,1981-82,9527.70588235294
Puducherry,1981-82,2987.4
Andhra Pradesh,1982-83,1933.0
Bihar,1982-83,1940.0
Chhattisgarh,1982-83,11276.0
Goa,1982-83,1738.7916666666667
Gujarat,1982-83,1949.0
Haryana,1982-83,917.0
Jharkhand,1982-83,14472.444444444445
Karnataka,1982-83,1739.0
Kerala,1982-83,996.0
Madhya Pradesh,1982-83,1938.0
Maharashtra,1982-83,3585.0
Orissa,1982-83,1191.0
Punjab,1982-83,1122.0
Rajasthan,1982-83,1419.0
Tamil Nadu,1982-83,2292.0
Uttar Pradesh,1982-83,3490.0
West Bengal,1982-83,2072.0
Arunachal Pradesh,1982-83,1444.0833333333333
Assam,1982-83,691.0
Himachal Pradesh,1982-83,353.0
Jammu and Kashmir,1982-83,504.0
Manipur,1982-83,137.0
Meghalaya,1982-83,117.0
Mizoram,1982-83,1179.16
Nagaland,1982-83,166.0
Sikkim,1982-83,47.0
Tripura,1982-83,145.0
Uttarakhand,1982-83,7286.1
NCT Delhi,1982-83,9527.70588235294
Puducherry,1982-83,2987.4
Andhra Pradesh,1983-84,2588.0
Bihar,1983-84,2144.0
Chhattisgarh,1983-84,11276.0
Goa,1983-84,1738.7916666666667
Gujarat,1983-84,2178.0
Haryana,1983-84,960.0
Jharkhand,1983-84,14472.444444444445
Karnataka,1983-84,2002.0
Kerala,1983-84,1322.0
Madhya Pradesh,1983-84,2324.0
Maharashtra,1983-84,4244.0
Orissa,1983-84,997.0
Punjab,1983-84,1434.0
Rajasthan,1983-84,1585.0
Tamil Nadu,1983-84,2752.0
