State,Year,Value
Andhra Pradesh,1980-81,449.0
Bihar,1980-81,862.0
Chhattisgarh,1980-81,2608.1
Goa,1980-81,353.7083333333333
Gujarat,1980-81,539.0
Haryana,1980-81,207.0
Jharkhand,1980-81,3668.6666666666665
Karnataka,1980-81,407.0
Kerala,1980-81,188.0
Madhya Pradesh,1980-81,573.0
Maharashtra,1980-81,696.0
Orissa,1980-81,336.0
Punjab,1980-81,267.0
Rajasthan,1980-81,432.0
Tamil Nadu,1980-81,534.0
Uttar Pradesh,1980-81,952.0
West Bengal,1980-81,437.0
Arunachal Pradesh,1980-81,436.9583333333333
Assam,1980-81,401.0
Himachal Pradesh,1980-81,150.0
Jammu and Kashmir,1980-81,154.0
Manipur,1980-81,88.0
Meghalaya,1980-81,42.0
Mizoram,1980-81,271.92
Nagaland,1980-81,73.0
Sikkim,1980-81,13.0
Tripura,1980-81,56.0
Uttarakhand,1980-81,1738.5
NCT Delhi,1980-81,4296.235294117647
Puducherry,1980-81,533.8
Andhra Pradesh,1981-82,445.0
Bihar,1981-82,704.0
Chhattisgarh,1981-82,2608.1
Goa,1981-82,353.7083333333333
Gujarat,1981-82,526.0
Haryana,1981-82,211.0
Jharkhand,1981-82,3668.6666666666665
Karnataka,1981-82,406.0
Kerala,1981-82,331.0
Madhya Pradesh,1981-82,562.0
Maharashtra,1981-82,850.0
Orissa,1981-82,240.0
Punjab,1981-82,376.0
Rajasthan,1981-82,537.0
Tamil Nadu,1981-82,646.0
Uttar Pradesh,1981-82,1036.0
West Bengal,1981-82,527.0
Arunachal Pradesh,1981-82,436.9583333333333
Assam,1981-82,215.0
Himachal Pradesh,1981-82,84.0
Jammu and Kashmir,1981-82,252.0
Manipur,1981-82,43.0
Meghalaya,1981-82,27.0
Mizoram,1981-82,271.92
Nagaland,1981-82,31.0
Sikkim,1981-82,13.0
Tripura,1981-82,33.0
Uttarakhand,1981-82,1738.5
NCT Delhi,1981-82,4296.235294117647
Puducherry,1981-82,533.8
Andhra Pradesh,1982-83,427.0
Bihar,1982-83,583.0
Chhattisgarh,1982-83,2608.1
Goa,1982-83,353.7083333333333
Gujarat,1982-83,666.0
Haryana,1982-83,350.0
Jharkhand,1982-83,3668.6666666666665
Karnataka,1982-83,500.0
Kerala,1982-83,213.0
Madhya Pradesh,1982-83,610.0
Maharashtra,1982-83,957.0
Orissa,1982-83,367.0
Punjab,1982-83,438.0
Rajasthan,1982-83,464.0
Tamil Nadu,1982-83,716.0
Uttar Pradesh,1982-83,1127.0
West Bengal,1982-83,451.0
Arunachal Pradesh,1982-83,436.9583333333333
Assam,1982-83,208.0
Himachal Pradesh,1982-83,90.0
Jammu and Kashmir,1982-83,178.0
Manipur,1982-83,44.0
Meghalaya,1982-83,32.0
Mizoram,1982-83,271.92
Nagaland,1982-83,37.0
Sikkim,1982-83,11.0
Tripura,1982-83,36.0
Uttarakhand,1982-83,1738.5
NCT Delhi,1982-83,4296.235294117647
Puducherry,1982-83,533.8
Andhra Pradesh,1983-84,546.0
Bihar,1983-84,711.0
Chhattisgarh,1983-84,2608.1
Goa,1983-84,353.7083333333333
Gujarat,1983-84,752.0
Haryana,1983-84,338.0
Jharkhand,1983-84,3668.6666666666665
Karnataka,1983-84,586.0
Kerala,1983-84,329.0
Madhya Pradesh,1983-84,700.0
Maharashtra,1983-84,1063.0
Orissa,1983-84,214.0
Punjab,1983-84,614.0
Rajasthan,1983-84,487.0
Tamil Nadu,1983-84,841.0
Uttar Pradesh,1983-84,1355.0
West Bengal,1983-84,441.0
Arunachal Pradesh,1983-84,436.9583333333333
Assam,1983-84,254.0
Himachal Pradesh,1983-84,101.0
Jammu and Kashmir,1983-84,198.0
Manipur,1983-84,53.0
Meghalaya,1983-84,40.0
Mizoram,1983-84,271.92
Nagaland,1983-84,50.0
Sikkim,1983-84,18.0
Tripura,1983-84,47.0
Uttarakhand,1983-84,1738.5
NCT Delhi,1983-84,4296.235294117647
Puducherry,1983-84,533.8
Andhra Pradesh,1984-85,656.0
Bihar,1984-85,721.0
Chhattisgarh,1984-85,2608.1
Goa,1984-85,353.7083333333333
Gujarat,1984-85,762.0
Haryana,1984-85,359.0
Jharkhand,1984-85,3668.6666666666665
Karnataka,1984-85,732.0
Kerala,1984-85,433.0
Madhya Pradesh,1984-85,788.0
Maharashtra,1984-85,1183.0
Orissa,1984-85,384.0
Punjab,1984-85,785.0
Rajasthan,1984-85,535.0
Tamil Nadu,1984-85,740.0
Uttar Pradesh,1984-85,1894.0
West Bengal,1984-85,588.0
Arunachal Pradesh,1984-85,436.9583333333333
Assam,1984-85,330.0
Himachal Pradesh,1984-85,134.0
Jammu and Kashmir,1984-85,238.0
Manipur,1984-85,89.0
Meghalaya,1984-85,44.0
Mizoram,1984-85,271.92
Nagaland,1984-85,39.0
Sikkim,1984-85,18.0
Tripura,1984-85,57.0
Uttarakhand,1984-85,1738.5
NCT Delhi,1984-85,4296.235294117647
Puducherry,1984-85,533.8
Andhra Pradesh,1985-86,633.0
Bihar,1985-86,868.0
Chhattisgarh,1985-86,2608.1
Goa,1985-86,353.7083333333333
Gujarat,1985-86,653.0
Haryana,1985-86,461.0
Jharkhand,1985-86,3668.6666666666665
Karnataka,1985-86,796.0
Kerala,1985-86,523.0
Madhya Pradesh,1985-86,813.0
Maharashtra,1985-86,1241.0
Orissa,1985-86,410.0
Punjab,1985-86,800.0
Rajasthan,1985-86,609.0
Tamil Nadu,1985-86,859.0
Uttar Pradesh,1985-86,1629.0
West Bengal,1985-86,714.0
Arunachal Pradesh,1985-86,436.9583333333333
Assam,1985-86,264.0
Himachal Pradesh,1985-86,177.0
Jammu and Kashmir,1985-86,294.0
Manipur,1985-86,91.0
Meghalaya,1985-86,53.0
Mizoram,1985-86,46.0
Nagaland,1985-86,69.0
Sikkim,1985-86,26.0
Tripura,1985-86,69.0
Uttarakhand,1985-86,1738.5
NCT Delhi,1985-86,4296.235294117647
Puducherry,1985-86,533.8
Andhra Pradesh,1986-87,824.0
Bihar,1986-87,1083.0
Chhattisgarh,1986-87,2608.1
Goa,1986-87,83.0
Gujarat,1986-87,853.0
Haryana,1986-87,542.0
Jharkhand,1986-87,3668.6666666666665
Karnataka,1986-87,864.0
Kerala,1986-87,507.0
Madhya Pradesh,1986-87,818.0
Maharashtra,1986-87,1433.0
Orissa,1986-87,482.0
Punjab,1986-87,627.0
Rajasthan,1986-87,691.0
Tamil Nadu,1986-87,836.0
Uttar Pradesh,1986-87,1876.0
West Bengal,1986-87,810.0
Arunachal Pradesh,1986-87,78.0
Assam,1986-87,437.0
Himachal Pradesh,1986-87,183.0
Jammu and Kashmir,1986-87,336.0
Manipur,1986-87,101.0
Meghalaya,1986-87,73.0
Mizoram,1986-87,8.0
Nagaland,1986-87,81.0
Sikkim,1986-87,34.0
Tripura,1986-87,68.0
Uttarakhand,1986-87,1738.5
NCT Delhi,1986-87,4296.235294117647
Puducherry,1986-87,533.8
Andhra Pradesh,1987-88,853.0
Bihar,1987-88,1295.0
Chhattisgarh,1987-88,2608.1
Goa,1987-88,90.0
Gujarat,1987-88,996.0
Haryana,1987-88,375.0
Jharkhand,1987-88,3668.6666666666665
Karnataka,1987-88,770.0
Kerala,1987-88,470.0
Madhya Pradesh,1987-88,879.0
Maharashtra,1987-88,1425.0
Orissa,1987-88,582.0
Punjab,1987-88,990.0
Rajasthan,1987-88,845.0
Tamil Nadu,1987-88,821.0
Uttar Pradesh,1987-88,1821.0
West Bengal,1987-88,913.0
Arunachal Pradesh,1987-88,102.0
Assam,1987-88,469.0
Himachal Pradesh,1987-88,196.0
Jammu and Kashmir,1987-88,408.0
Manipur,1987-88,104.0
Meghalaya,1987-88,74.0
Mizoram,1987-88,60.0
Nagaland,1987-88,107.0
Sikkim,1987-88,40.0
Tripura,1987-88,98.0
Uttarakhand,1987-88,1738.5
NCT Delhi,1987-88,4296.235294117647
Puducherry,1987-88,533.8
Andhra Pradesh,1988-89,977.0
Bihar,1988-89,1113.0
Chhattisgarh,1988-89,2608.1
Goa,1988-89,85.0
Gujarat,1988-89,1011.0
Haryana,1988-89,436.0
Jharkhand,1988-89,3668.6666666666665
Karnataka,1988-89,776.0
Kerala,1988-89,460.0
Madhya Pradesh,1988-89,978.0
Maharashtra,1988-89,1561.0
Orissa,1988-89,602.0
Punjab,1988-89,798.0
Rajasthan,1988-89,845.0
Tamil Nadu,1988-89,854.0
Uttar Pradesh,1988-89,1822.0
West Bengal,1988-89,804.0
Arunachal Pradesh,1988-89,111.0
Assam,1988-89,420.0
Himachal Pradesh,1988-89,216.0
Jammu and Kashmir,1988-89,439.0
Manipur,1988-89,115.0
Meghalaya,1988-89,94.0
Mizoram,1988-89,56.0
Nagaland,1988-89,114.0
Sikkim,1988-89,51.0
Tripura,1988-89,112.0
Uttarakhand,1988-89,1738.5
NCT Delhi,1988-89,4296.235294117647
Puducherry,1988-89,533.8
Andhra Pradesh,1989-90,1053.0
Bihar,1989-90,1275.0
Chhattisgarh,1989-90,2608.1
Goa,1989-90,98.0
Gujarat,1989-90,1117.0
Haryana,1989-90,419.0
Jharkhand,1989-90,3668.6666666666665
Karnataka,1989-90,918.0
Kerala,1989-90,591.0
Madhya Pradesh,1989-90,1044.0
Maharashtra,1989-90,1835.0
Orissa,1989-90,629.0
Punjab,1989-90,866.0
Rajasthan,1989-90,868.0
Tamil Nadu,1989-90,931.0
Uttar Pradesh,1989-90,1983.0
West Bengal,1989-90,912.0
Arunachal Pradesh,1989-90,134.0
Assam,1989-90,598.0
Himachal Pradesh,1989-90,209.0
Jammu and Kashmir,1989-90,530.0
Manipur,1989-90,123.0
Meghalaya,1989-90,92.0
Mizoram,1989-90,64.0
Nagaland,1989-90,122.0
Sikkim,1989-90,52.0
Tripura,1989-90,105.0
Uttarakhand,1989-90,1738.5
NCT Delhi,1989-90,4296.235294117647
Puducherry,1989-90,533.8
Andhra Pradesh,1990-91,1076.0
Bihar,1990-91,1329.0
Chhattisgarh,1990-91,2608.1
Goa,1990-91,120.0
Gujarat,1990-91,1388.0
Haryana,1990-91,464.0
Jharkhand,1990-91,3668.6666666666665
Karnataka,1990-91,1008.0
Kerala,1990-91,552.0
Madhya Pradesh,1990-91,1153.0
Maharashtra,1990-91,2019.0
Orissa,1990-91,861.0
Punjab,1990-91,880.0
Rajasthan,1990-91,1248.0
Tamil Nadu,1990-91,980.0
Uttar Pradesh,1990-91,2702.0
West Bengal,1990-91,900.0
Arunachal Pradesh,1990-91,140.0
Assam,1990-91,769.0
Himachal Pradesh,1990-91,217.0
Jammu and Kashmir,1990-91,772.0
Manipur,1990-91,146.0
Meghalaya,1990-91,95.0
Mizoram,1990-91,197.0
Nagaland,1990-91,130.0
Sikkim,1990-91,55.0
Tripura,1990-91,116.0
Uttarakhand,1990-91,1738.5
NCT Delhi,1990-91,4296.235294117647
Puducherry,1990-91,533.8
Andhra Pradesh,1991-92,1306.0
Bihar,1991-92,1066.0
Chhattisgarh,1991-92,2608.1
Goa,1991-92,135.0
Gujarat,1991-92,1670.0
Haryana,1991-92,453.0
Jharkhand,1991-92,3668.6666666666665
Karnataka,1991-92,1294.0
Kerala,1991-92,789.0
Madhya Pradesh,1991-92,1217.0
Maharashtra,1991-92,2003.0
Orissa,1991-92,1005.0
