State,Year,Value
Andhra Pradesh,1980-81,222.0
Bihar,1980-81,336.0
Chhattisgarh,1980-81,1076.2
Goa,1980-81,323.375
Gujarat,1980-81,247.0
Haryana,1980-81,112.0
Jharkhand,1980-81,3723.4444444444443
Karnataka,1980-81,226.0
Kerala,1980-81,180.0
Madhya Pradesh,1980-81,337.0
Maharashtra,1980-81,463.0
Orissa,1980-81,134.0
Punjab,1980-81,160.0
Rajasthan,1980-81,207.0
Tamil Nadu,1980-81,210.0
Uttar Pradesh,1980-81,551.0
West Bengal,1980-81,289.0
Arunachal Pradesh,1980-81,173.75
Assam,1980-81,-27.0
Himachal Pradesh,1980-81,-35.0
Jammu and Kashmir,1980-81,145.0
Manipur,1980-81,-7.0
Meghalaya,1980-81,-8.0
Mizoram,1980-81,159.72
Nagaland,1980-81,-26.0
Sikkim,1980-81,6.0
Tripura,1980-81,-9.0
Uttarakhand,1980-81,1316.1
NCT Delhi,1980-81,1407.4117647058824
Puducherry,1980-81,605.0
Andhra Pradesh,1981-82,244.0
Bihar,1981-82,409.0
Chhattisgarh,1981-82,1076.2
Goa,1981-82,323.375
Gujarat,1981-82,254.0
Haryana,1981-82,102.0
Jharkhand,1981-82,3723.4444444444443
Karnataka,1981-82,118.0
Kerala,1981-82,62.0
Madhya Pradesh,1981-82,238.0
Maharashtra,1981-82,489.0
Orissa,1981-82,142.0
Punjab,1981-82,178.0
Rajasthan,1981-82,327.0
Tamil Nadu,1981-82,213.0
Uttar Pradesh,1981-82,452.0
West Bengal,1981-82,380.0
Arunachal Pradesh,1981-82,173.75
Assam,1981-82,172.0
Himachal Pradesh,1981-82,57.0
Jammu and Kashmir,1981-82,136.0
Manipur,1981-82,27.0
Meghalaya,1981-82,17.0
Mizoram,1981-82,159.72
Nagaland,1981-82,20.0
Sikkim,1981-82,5.0
Tripura,1981-82,25.0
Uttarakhand,1981-82,1316.1
NCT Delhi,1981-82,1407.4117647058824
Puducherry,1981-82,605.0
Andhra Pradesh,1982-83,172.0
Bihar,1982-83,435.0
Chhattisgarh,1982-83,1076.2
Goa,1982-83,323.375
Gujarat,1982-83,377.0
Haryana,1982-83,189.0
Jharkhand,1982-83,3723.4444444444443
Karnataka,1982-83,280.0
Kerala,1982-83,123.0
Madhya Pradesh,1982-83,291.0
Maharashtra,1982-83,552.0
Orissa,1982-83,212.0
Punjab,1982-83,183.0
Rajasthan,1982-83,275.0
Tamil Nadu,1982-83,326.0
Uttar Pradesh,1982-83,582.0
West Bengal,1982-83,498.0
Arunachal Pradesh,1982-83,173.75
Assam,1982-83,200.0
Himachal Pradesh,1982-83,74.0
Jammu and Kashmir,1982-83,142.0
Manipur,1982-83,17.0
Meghalaya,1982-83,15.0
Mizoram,1982-83,159.72
Nagaland,1982-83,30.0
Sikkim,1982-83,-2.0
Tripura,1982-83,17.0
Uttarakhand,1982-83,1316.1
NCT Delhi,1982-83,1407.4117647058824
Puducherry,1982-83,605.0
Andhra Pradesh,1983-84,493.0
Bihar,1983-84,328.0
Chhattisgarh,1983-84,1076.2
Goa,1983-84,323.375
Gujarat,1983-84,398.0
Haryana,1983-84,134.0
Jharkhand,1983-84,3723.4444444444443
Karnataka,1983-84,288.0
Kerala,1983-84,299.0
Madhya Pradesh,1983-84,366.0
Maharashtra,1983-84,740.0
