State,Year,Value
Andhra Pradesh,1980-81,582.0
Bihar,1980-81,277.0
Chhattisgarh,1980-81,3896.0
Goa,1980-81,556.5416666666666
Gujarat,1980-81,531.0
Haryana,1980-81,234.0
Jharkhand,1980-81,3304.0
Karnataka,1980-81,475.0
Kerala,1980-81,337.0
Madhya Pradesh,1980-81,386.0
Maharashtra,1980-81,1130.0
Orissa,1980-81,132.0
Punjab,1980-81,349.0
Rajasthan,1980-81,230.0
Tamil Nadu,1980-81,639.0
Uttar Pradesh,1980-81,645.0
West Bengal,1980-81,514.0
Arunachal Pradesh,1980-81,29.625
Assam,1980-81,66.0
Himachal Pradesh,1980-81,34.0
Jammu and Kashmir,1980-81,38.0
Manipur,1980-81,3.0
Meghalaya,1980-81,5.0
Mizoram,1980-81,25.833333333333332
Nagaland,1980-81,4.0
Sikkim,1980-81,3.0
Tripura,1980-81,4.0
Uttarakhand,1980-81,1850.3
NCT Delhi,1980-81,5943.705882352941
Puducherry,1980-81,666.8
Andhra Pradesh,1981-82,703.0
Bihar,1981-82,338.0
Chhattisgarh,1981-82,3896.0
Goa,1981-82,556.5416666666666
Gujarat,1981-82,661.0
Haryana,1981-82,291.0
Jharkhand,1981-82,3304.0
Karnataka,1981-82,607.0
Kerala,1981-82,374.0
Madhya Pradesh,1981-82,476.0
Maharashtra,1981-82,1384.0
Orissa,1981-82,160.0
Punjab,1981-82,432.0
Rajasthan,1981-82,312.0
Tamil Nadu,1981-82,842.0
Uttar Pradesh,1981-82,823.0
West Bengal,1981-82,616.0
Arunachal Pradesh,1981-82,29.625
Assam,1981-82,90.0
Himachal Pradesh,1981-82,42.0
Jammu and Kashmir,1981-82,60.0
Manipur,1981-82,4.0
Meghalaya,1981-82,6.0
Mizoram,1981-82,25.833333333333332
Nagaland,1981-82,6.0
Sikkim,1981-82,3.0
Tripura,1981-82,5.0
Uttarakhand,1981-82,1850.3
NCT Delhi,1981-82,5943.705882352941
Puducherry,1981-82,666.8
Andhra Pradesh,1982-83,808.0
Bihar,1982-83,382.0
Chhattisgarh,1982-83,3896.0
Goa,1982-83,556.5416666666666
Gujarat,1982-83,763.0
Haryana,1982-83,337.0
Jharkhand,1982-83,3304.0
Karnataka,1982-83,674.0
Kerala,1982-83,438.0
Madhya Pradesh,1982-83,558.0
Maharashtra,1982-83,1648.0
Orissa,1982-83,174.0
Punjab,1982-83,491.0
Rajasthan,1982-83,390.0
Tamil Nadu,1982-83,1012.0
Uttar Pradesh,1982-83,929.0
West Bengal,1982-83,638.0
Arunachal Pradesh,1982-83,29.625
Assam,1982-83,108.0
Himachal Pradesh,1982-83,48.0
Jammu and Kashmir,1982-83,62.0
Manipur,1982-83,4.0
Meghalaya,1982-83,7.0
Mizoram,1982-83,25.833333333333332
Nagaland,1982-83,7.0
Sikkim,1982-83,3.0
Tripura,1982-83,6.0
Uttarakhand,1982-83,1850.3
NCT Delhi,1982-83,5943.705882352941
Puducherry,1982-83,666.8
Andhra Pradesh,1983-84,965.0
Bihar,1983-84,442.0
Chhattisgarh,1983-84,3896.0
Goa,1983-84,556.5416666666666
Gujarat,1983-84,879.0
Haryana,1983-84,366.0
Jharkhand,1983-84,3304.0
Karnataka,1983-84,760.0
Kerala,1983-84,487.0
Madhya Pradesh,1983-84,643.0
Maharashtra,1983-84,1823.0
Orissa,1983-84,201.0
Punjab,1983-84,544.0
Rajasthan,1983-84,441.0
Tamil Nadu,1983-84,1145.0
Uttar Pradesh,1983-84,992.0
West Bengal,1983-84,769.0
Arunachal Pradesh,1983-84,29.625
Assam,1983-84,136.0
Himachal Pradesh,1983-84,54.0
Jammu and Kashmir,1983-84,71.0
Manipur,1983-84,5.0
Meghalaya,1983-84,10.0
Mizoram,1983-84,25.833333333333332
Nagaland,1983-84,10.0
Sikkim,1983-84,4.0
Tripura,1983-84,8.0
Uttarakhand,1983-84,1850.3
NCT Delhi,1983-84,5943.705882352941
Puducherry,1983-84,666.8
Andhra Pradesh,1984-85,1174.0
Bihar,1984-85,464.0
Chhattisgarh,1984-85,3896.0
Goa,1984-85,556.5416666666666
Gujarat,1984-85,980.0
Haryana,1984-85,406.0
Jharkhand,1984-85,3304.0
Karnataka,1984-85,909.0
Kerala,1984-85,622.0
Madhya Pradesh,1984-85,713.0
Maharashtra,1984-85,1966.0
Orissa,1984-85,228.0
Punjab,1984-85,567.0
Rajasthan,1984-85,487.0
Tamil Nadu,1984-85,1298.0
Uttar Pradesh,1984-85,1140.0
West Bengal,1984-85,937.0
Arunachal Pradesh,1984-85,29.625
Assam,1984-85,189.0
Himachal Pradesh,1984-85,61.0
Jammu and Kashmir,1984-85,79.0
Manipur,1984-85,6.0
Meghalaya,1984-85,12.0
Mizoram,1984-85,25.833333333333332
Nagaland,1984-85,9.0
Sikkim,1984-85,5.0
Tripura,1984-85,8.0
Uttarakhand,1984-85,1850.3
NCT Delhi,1984-85,5943.705882352941
Puducherry,1984-85,666.8
Andhra Pradesh,1985-86,1439.0
Bihar,1985-86,576.0
Chhattisgarh,1985-86,3896.0
Goa,1985-86,556.5416666666666
Gujarat,1985-86,1075.0
Haryana,1985-86,502.0
Jharkhand,1985-86,3304.0
Karnataka,1985-86,1076.0
Kerala,1985-86,731.0
Madhya Pradesh,1985-86,831.0
Maharashtra,1985-86,2377.0
Orissa,1985-86,286.0
Punjab,1985-86,670.0
Rajasthan,1985-86,566.0
Tamil Nadu,1985-86,1548.0
Uttar Pradesh,1985-86,1291.0
West Bengal,1985-86,1124.0
Arunachal Pradesh,1985-86,29.625
Assam,1985-86,235.0
Himachal Pradesh,1985-86,74.0
Jammu and Kashmir,1985-86,104.0
Manipur,1985-86,7.0
Meghalaya,1985-86,15.0
Mizoram,1985-86,2.0
Nagaland,1985-86,10.0
Sikkim,1985-86,6.0
Tripura,1985-86,10.0
Uttarakhand,1985-86,1850.3
NCT Delhi,1985-86,5943.705882352941
Puducherry,1985-86,666.8
Andhra Pradesh,1986-87,1559.0
Bihar,1986-87,659.0
Chhattisgarh,1986-87,3896.0
Goa,1986-87,61.0
Gujarat,1986-87,1264.0
Haryana,1986-87,566.0
Jharkhand,1986-87,3304.0
Karnataka,1986-87,1206.0
Kerala,1986-87,814.0
Madhya Pradesh,1986-87,974.0
Maharashtra,1986-87,2792.0
Orissa,1986-87,338.0
Punjab,1986-87,803.0
Rajasthan,1986-87,656.0
Tamil Nadu,1986-87,1757.0
Uttar Pradesh,1986-87,1529.0
West Bengal,1986-87,1219.0
Arunachal Pradesh,1986-87,2.0
Assam,1986-87,245.0
Himachal Pradesh,1986-87,92.0
Jammu and Kashmir,1986-87,118.0
Manipur,1986-87,9.0
Meghalaya,1986-87,18.0
Mizoram,1986-87,25.833333333333332
Nagaland,1986-87,13.0
Sikkim,1986-87,7.0
Tripura,1986-87,12.0
Uttarakhand,1986-87,1850.3
NCT Delhi,1986-87,5943.705882352941
Puducherry,1986-87,666.8
Andhra Pradesh,1987-88,1819.0
Bihar,1987-88,761.0
Chhattisgarh,1987-88,3896.0
Goa,1987-88,52.0
Gujarat,1987-88,1526.0
Haryana,1987-88,664.0
Jharkhand,1987-88,3304.0
Karnataka,1987-88,1415.0
Kerala,1987-88,925.0
Madhya Pradesh,1987-88,1115.0
Maharashtra,1987-88,3219.0
Orissa,1987-88,387.0
Punjab,1987-88,916.0
Rajasthan,1987-88,773.0
Tamil Nadu,1987-88,1762.0
Uttar Pradesh,1987-88,1989.0
West Bengal,1987-88,1449.0
Arunachal Pradesh,1987-88,2.0
Assam,1987-88,249.0
Himachal Pradesh,1987-88,103.0
Jammu and Kashmir,1987-88,123.0
Manipur,1987-88,12.0
Meghalaya,1987-88,20.0
Mizoram,1987-88,4.0
Nagaland,1987-88,15.0
Sikkim,1987-88,11.0
Tripura,1987-88,14.0
Uttarakhand,1987-88,1850.3
NCT Delhi,1987-88,5943.705882352941
Puducherry,1987-88,666.8
Andhra Pradesh,1988-89,2122.0
Bihar,1988-89,831.0
Chhattisgarh,1988-89,3896.0
Goa,1988-89,62.0
Gujarat,1988-89,1871.0
Haryana,1988-89,795.0
Jharkhand,1988-89,3304.0
Karnataka,1988-89,1699.0
Kerala,1988-89,1066.0
Madhya Pradesh,1988-89,1338.0
Maharashtra,1988-89,3823.0
Orissa,1988-89,443.0
Punjab,1988-89,1041.0
Rajasthan,1988-89,893.0
Tamil Nadu,1988-89,1994.0
Uttar Pradesh,1988-89,2066.0
West Bengal,1988-89,1735.0
Arunachal Pradesh,1988-89,2.0
Assam,1988-89,279.0
Himachal Pradesh,1988-89,118.0
Jammu and Kashmir,1988-89,138.0
Manipur,1988-89,12.0
Meghalaya,1988-89,28.0
Mizoram,1988-89,2.0
Nagaland,1988-89,16.0
Sikkim,1988-89,11.0
Tripura,1988-89,18.0
Uttarakhand,1988-89,1850.3
NCT Delhi,1988-89,5943.705882352941
Puducherry,1988-89,666.8
Andhra Pradesh,1989-90,2384.0
Bihar,1989-90,925.0
Chhattisgarh,1989-90,3896.0
Goa,1989-90,70.0
Gujarat,1989-90,2160.0
Haryana,1989-90,910.0
Jharkhand,1989-90,3304.0
Karnataka,1989-90,1932.0
Kerala,1989-90,1233.0
Madhya Pradesh,1989-90,1578.0
Maharashtra,1989-90,4401.0
Orissa,1989-90,525.0
Punjab,1989-90,1228.0
Rajasthan,1989-90,1073.0
Tamil Nadu,1989-90,2489.0
Uttar Pradesh,1989-90,2449.0
West Bengal,1989-90,1938.0
Arunachal Pradesh,1989-90,2.0
Assam,1989-90,333.0
Himachal Pradesh,1989-90,142.0
Jammu and Kashmir,1989-90,133.0
Manipur,1989-90,13.0
Meghalaya,1989-90,31.0
Mizoram,1989-90,3.0
Nagaland,1989-90,12.0
Sikkim,1989-90,11.0
Tripura,1989-90,21.0
Uttarakhand,1989-90,1850.3
NCT Delhi,1989-90,5943.705882352941
Puducherry,1989-90,666.8
Andhra Pradesh,1990-91,2647.0
Bihar,1990-91,1142.0
Chhattisgarh,1990-91,3896.0
Goa,1990-91,85.0
Gujarat,1990-91,2400.0
Haryana,1990-91,1070.0
Jharkhand,1990-91,3304.0
Karnataka,1990-91,2332.0
Kerala,1990-91,1340.0
Madhya Pradesh,1990-91,1755.0
Maharashtra,1990-91,5120.0
Orissa,1990-91,669.0
Punjab,1990-91,1291.0
Rajasthan,1990-91,1217.0
Tamil Nadu,1990-91,3124.0
Uttar Pradesh,1990-91,3162.0
West Bengal,1990-91,2134.0
Arunachal Pradesh,1990-91,3.0
Assam,1990-91,420.0
Himachal Pradesh,1990-91,161.0
Jammu and Kashmir,1990-91,163.0
Manipur,1990-91,17.0
Meghalaya,1990-91,36.0
Mizoram,1990-91,3.0
Nagaland,1990-91,18.0
Sikkim,1990-91,11.0
Tripura,1990-91,26.0
Uttarakhand,1990-91,1850.3
NCT Delhi,1990-91,5943.705882352941
Puducherry,1990-91,666.8
Andhra Pradesh,1991-92,3055.0
Bihar,1991-92,1310.0
Chhattisgarh,1991-92,3896.0
Goa,1991-92,114.0
Gujarat,1991-92,2893.0
Haryana,1991-92,1300.0
Jharkhand,1991-92,3304.0
Karnataka,1991-92,2900.0
Kerala,1991-92,1674.0
Madhya Pradesh,1991-92,2117.0
Maharashtra,1991-92,5954.0
Orissa,1991-92,674.0
Punjab,1991-92,1543.0
Rajasthan,1991-92,1549.0
Tamil Nadu,1991-92,3734.0
Uttar Pradesh,1991-92,3497.0
West Bengal,1991-92,2450.0
Arunachal Pradesh,1991-92,4.0
Assam,1991-92,512.0
Himachal Pradesh,1991-92,193.0
Jammu and Kashmir,1991-92,165.0
Manipur,1991-92,14.0
Meghalaya,1991-92,43.0
Mizoram,1991-92,3.0
Nagaland,1991-92,18.0
Sikkim,1991-92,11.0
Tripura,1991-92,29.0
Uttarakhand,1991-92,1850.3
NCT Delhi,1991-92,5943.705882352941
Puducherry,1991-92,666.8
Andhra Pradesh,1992-93,3389.0
Bihar,1992-93,1564.0
Chhattisgarh,1992-93,3896.0
Goa,1992-93,144.0
Gujarat,1992-93,3457.0
Haryana,1992-93,1447.0
Jharkhand,1992-93,3304.0
Karnataka,1992-93,3098.0
Kerala,1992-93,1887.0
Madhya Pradesh,1992-93,2334.0
Maharashtra,1992-93,6561.0
Orissa,1992-93,762.0
Punjab,1992-93,1759.0
Rajasthan,1992-93,1734.0
Tamil Nadu,1992-93,4162.0
Uttar Pradesh,1992-93,3886.0
West Bengal,1992-93,2609.0
Arunachal Pradesh,1992-93,4.0
Assam,1992-93,518.0
Himachal Pradesh,1992-93,222.0
Jammu and Kashmir,1992-93,207.0
Manipur,1992-93,15.0
Meghalaya,1992-93,44.0
Mizoram,1992-93,5.0
Nagaland,1992-93,17.0
Sikkim,1992-93,12.0
Tripura,1992-93,34.0
Uttarakhand,1992-93,1850.3
NCT Delhi,1992-93,5943.705882352941
Puducherry,1992-93,666.8
Andhra Pradesh,1993-94,3833.0
Bihar,1993-94,1748.0
Chhattisgarh,1993-94,3896.0
Goa,1993-94,188.0
Gujarat,1993-94,3942.0
Haryana,1993-94,1589.0
Jharkhand,1993-94,3304.0
Karnataka,1993-94,3812.0
Kerala,1993-94,2345.0
Madhya Pradesh,1993-94,2677.0
Maharashtra,1993-94,7696.0
Orissa,1993-94,860.0
Punjab,1993-94,2150.0
Rajasthan,1993-94,1950.0
Tamil Nadu,1993-94,4801.0
Uttar Pradesh,1993-94,4132.0
West Bengal,1993-94,2913.0
Arunachal Pradesh,1993-94,4.0
Assam,1993-94,613.0
Himachal Pradesh,1993-94,256.0
Jammu and Kashmir,1993-94,225.0
Manipur,1993-94,19.0
Meghalaya,1993-94,48.0
Mizoram,1993-94,5.0
Nagaland,1993-94,18.0
Sikkim,1993-94,14.0
Tripura,1993-94,37.0
Uttarakhand,1993-94,1850.3
NCT Delhi,1993-94,550.0
Puducherry,1993-94,666.8
Andhra Pradesh,1994-95,4227.0
Bihar,1994-95,1836.0
Chhattisgarh,1994-95,3896.0
Goa,1994-95,226.0
Gujarat,1994-95,4743.0
Haryana,1994-95,1888.0
Jharkhand,1994-95,3304.0
Karnataka,1994-95,4289.0
Kerala,1994-95,2799.0
Madhya Pradesh,1994-95,2871.0
Maharashtra,1994-95,9455.0
Orissa,1994-95,923.0
Punjab,1994-95,2599.0
Rajasthan,1994-95,2307.0
Tamil Nadu,1994-95,5834.0
Uttar Pradesh,1994-95,4878.0
West Bengal,1994-95,3730.0
Arunachal Pradesh,1994-95,6.0
Assam,1994-95,632.0
Himachal Pradesh,1994-95,299.0
Jammu and Kashmir,1994-95,244.0
Manipur,1994-95,24.0
Meghalaya,1994-95,56.0
Mizoram,1994-95,5.0
Nagaland,1994-95,19.0
Sikkim,1994-95,14.0
Tripura,1994-95,44.0
Uttarakhand,1994-95,1850.3
NCT Delhi,1994-95,1787.0
Puducherry,1994-95,666.8
Andhra Pradesh,1995-96,4120.0
Bihar,1995-96,1973.0
Chhattisgarh,1995-96,3896.0
Goa,1995-96,272.0
Gujarat,1995-96,5323.0
Haryana,1995-96,2169.0
Jharkhand,1995-96,3304.0
Karnataka,1995-96,5274.0
Kerala,1995-96,3383.0
Madhya Pradesh,1995-96,3518.0
Maharashtra,1995-96,10934.0
Orissa,1995-96,1127.0
Punjab,1995-96,2651.0
Rajasthan,1995-96,2731.0
Tamil Nadu,1995-96,7151.0
Uttar Pradesh,1995-96,5469.0
West Bengal,1995-96,4133.0
Arunachal Pradesh,1995-96,8.0
Assam,1995-96,702.0
Himachal Pradesh,1995-96,342.0
Jammu and Kashmir,1995-96,285.0
Manipur,1995-96,28.0
Meghalaya,1995-96,66.0
Mizoram,1995-96,6.0
Nagaland,1995-96,21.0
Sikkim,1995-96,21.0
Tripura,1995-96,48.0
Uttarakhand,1995-96,1850.3
NCT Delhi,1995-96,2111.0
Puducherry,1995-96,666.8
Andhra Pradesh,1996-97,4882.0
Bihar,1996-97,2251.0
Chhattisgarh,1996-97,3896.0
Goa,1996-97,303.0
Gujarat,1996-97,6066.0
Haryana,1996-97,2143.0
Jharkhand,1996-97,3304.0
Karnataka,1996-97,5768.0
Kerala,1996-97,3899.0
Madhya Pradesh,1996-97,4104.0
Maharashtra,1996-97,11715.0
Orissa,1996-97,1342.0
Punjab,1996-97,2735.0
Rajasthan,1996-97,3124.0
Tamil Nadu,1996-97,7984.0
Uttar Pradesh,1996-97,6306.0
West Bengal,1996-97,4259.0
Arunachal Pradesh,1996-97,9.0
Assam,1996-97,767.0
Himachal Pradesh,1996-97,412.0
Jammu and Kashmir,1996-97,289.0
Manipur,1996-97,14.0
Meghalaya,1996-97,77.0
Mizoram,1996-97,7.0
Nagaland,1996-97,31.0
Sikkim,1996-97,22.0
Tripura,1996-97,60.0
Uttarakhand,1996-97,1850.3
NCT Delhi,1996-97,2535.0
Puducherry,1996-97,666.8
Andhra Pradesh,1997-98,7114.0
Bihar,1997-98,2390.0
Chhattisgarh,1997-98,3896.0
Goa,1997-98,365.0
Gujarat,1997-98,6591.0
Haryana,1997-98,2369.0
