State,Year,Value
Andhra Pradesh,1980-81,-104.0
Bihar,1980-81,-59.0
Chhattisgarh,1980-81,-804.7
Goa,1980-81,45.25
Gujarat,1980-81,-122.0
Haryana,1980-81,-59.0
Jharkhand,1980-81,552.7777777777778
Karnataka,1980-81,-59.0
Kerala,1980-81,28.0
Madhya Pradesh,1980-81,-118.0
Maharashtra,1980-81,-121.0
Orissa,1980-81,-81.0
Punjab,1980-81,-18.0
Rajasthan,1980-81,-65.0
Tamil Nadu,1980-81,-128.0
Uttar Pradesh,1980-81,-183.0
West Bengal,1980-81,23.0
Arunachal Pradesh,1980-81,-180.20833333333334
Assam,1980-81,-165.0
Himachal Pradesh,1980-81,-104.0
Jammu and Kashmir,1980-81,15.0
Manipur,1980-81,-41.0
Meghalaya,1980-81,-30.0
Mizoram,1980-81,-51.32
Nagaland,1980-81,-52.0
Sikkim,1980-81,-7.0
Tripura,1980-81,-36.0
Uttarakhand,1980-81,41.1
NCT Delhi,1980-81,-2203.529411764706
Puducherry,1980-81,188.4
Andhra Pradesh,1981-82,-80.0
Bihar,1981-82,7.0
Chhattisgarh,1981-82,-804.7
Goa,1981-82,45.25
Gujarat,1981-82,-120.0
Haryana,1981-82,-51.0
Jharkhand,1981-82,552.7777777777778
Karnataka,1981-82,-164.0
Kerala,1981-82,-96.0
Madhya Pradesh,1981-82,-229.0
Maharashtra,1981-82,-147.0
Orissa,1981-82,-28.0
Punjab,1981-82,-63.0
Rajasthan,1981-82,-34.0
Tamil Nadu,1981-82,-82.0
Uttar Pradesh,1981-82,-353.0
West Bengal,1981-82,88.0
Arunachal Pradesh,1981-82,-180.20833333333334
Assam,1981-82,37.0
Himachal Pradesh,1981-82,-22.0
Jammu and Kashmir,1981-82,-2.0
Manipur,1981-82,-10.0
Meghalaya,1981-82,-8.0
Mizoram,1981-82,-51.32
Nagaland,1981-82,-8.0
Sikkim,1981-82,-8.0
Tripura,1981-82,-6.0
Uttarakhand,1981-82,41.1
NCT Delhi,1981-82,-2203.529411764706
Puducherry,1981-82,188.4
Andhra Pradesh,1982-83,-133.0
Bihar,1982-83,38.0
Chhattisgarh,1982-83,-804.7
Goa,1982-83,45.25
Gujarat,1982-83,-66.0
Haryana,1982-83,-45.0
Jharkhand,1982-83,552.7777777777778
Karnataka,1982-83,-42.0
Kerala,1982-83,-27.0
Madhya Pradesh,1982-83,-188.0
Maharashtra,1982-83,-210.0
Orissa,1982-83,23.0
Punjab,1982-83,-103.0
Rajasthan,1982-83,-55.0
Tamil Nadu,1982-83,-102.0
Uttar Pradesh,1982-83,-192.0
West Bengal,1982-83,242.0
Arunachal Pradesh,1982-83,-180.20833333333334
Assam,1982-83,44.0
Himachal Pradesh,1982-83,-9.0
Jammu and Kashmir,1982-83,1.0
Manipur,1982-83,-20.0
Meghalaya,1982-83,-12.0
Mizoram,1982-83,-51.32
Nagaland,1982-83,-6.0
Sikkim,1982-83,-13.0
Tripura,1982-83,-15.0
Uttarakhand,1982-83,41.1
NCT Delhi,1982-83,-2203.529411764706
Puducherry,1982-83,188.4
Andhra Pradesh,1983-84,89.0
Bihar,1983-84,-72.0
Chhattisgarh,1983-84,-804.7
Goa,1983-84,45.25
Gujarat,1983-84,-139.0
Haryana,1983-84,-76.0
Jharkhand,1983-84,552.7777777777778
Karnataka,1983-84,-73.0
Kerala,1983-84,58.0
Madhya Pradesh,1983-84,-176.0
