State,Year,Value
Andhra Pradesh,1980-81,1161.0
Bihar,1980-81,929.0
Chhattisgarh,1980-81,8667.8
Goa,1980-81,1385.25
Gujarat,1980-81,903.0
Haryana,1980-81,401.0
Jharkhand,1980-81,10803.888888888889
Karnataka,1980-81,895.0
Kerala,1980-81,668.0
Madhya Pradesh,1980-81,1016.0
Maharashtra,1980-81,1917.0
Orissa,1980-81,541.0
Punjab,1980-81,550.0
Rajasthan,1980-81,688.0
Tamil Nadu,1980-81,1152.0
Uttar Pradesh,1980-81,1716.0
West Bengal,1980-81,1115.0
Arunachal Pradesh,1980-81,1007.2083333333334
Assam,1980-81,357.0
Himachal Pradesh,1980-81,188.0
Jammu and Kashmir,1980-81,273.0
Manipur,1980-81,71.0
Meghalaya,1980-81,60.0
Mizoram,1980-81,907.28
Nagaland,1980-81,92.0
Sikkim,1980-81,30.0
Tripura,1980-81,87.0
Uttarakhand,1980-81,5547.9
NCT Delhi,1980-81,5231.35294117647
Puducherry,1980-81,2453.6
Andhra Pradesh,1981-82,1386.0
Bihar,1981-82,1167.0
Chhattisgarh,1981-82,8667.8
Goa,1981-82,1385.25
Gujarat,1981-82,1039.0
Haryana,1981-82,486.0
Jharkhand,1981-82,10803.888888888889
Karnataka,1981-82,1002.0
Kerala,1981-82,755.0
Madhya Pradesh,1981-82,1115.0
Maharashtra,1981-82,2238.0
Orissa,1981-82,574.0
Punjab,1981-82,620.0
Rajasthan,1981-82,823.0
Tamil Nadu,1981-82,1360.0
Uttar Pradesh,1981-82,1906.0
West Bengal,1981-82,1312.0
Arunachal Pradesh,1981-82,1007.2083333333334
Assam,1981-82,402.0
Himachal Pradesh,1981-82,212.0
Jammu and Kashmir,1981-82,296.0
Manipur,1981-82,85.0
Meghalaya,1981-82,74.0
Mizoram,1981-82,907.28
Nagaland,1981-82,101.0
Sikkim,1981-82,32.0
Tripura,1981-82,91.0
Uttarakhand,1981-82,5547.9
NCT Delhi,1981-82,5231.35294117647
Puducherry,1981-82,2453.6
Andhra Pradesh,1982-83,1507.0
Bihar,1982-83,1357.0
Chhattisgarh,1982-83,8667.8
Goa,1982-83,1385.25
Gujarat,1982-83,1283.0
Haryana,1982-83,567.0
Jharkhand,1982-83,10803.888888888889
Karnataka,1982-83,1239.0
Kerala,1982-83,783.0
Madhya Pradesh,1982-83,1328.0
Maharashtra,1982-83,2628.0
Orissa,1982-83,825.0
Punjab,1982-83,684.0
Rajasthan,1982-83,955.0
Tamil Nadu,1982-83,1576.0
Uttar Pradesh,1982-83,2364.0
West Bengal,1982-83,1622.0
Arunachal Pradesh,1982-83,1007.2083333333334
