State,Year,Value
Andhra Pradesh,1980-81,532.0
Bihar,1980-81,452.0
Chhattisgarh,1980-81,5289.3
Goa,1980-81,532.3333333333334
Gujarat,1980-81,406.0
Haryana,1980-81,137.0
Jharkhand,1980-81,6644.666666666667
Karnataka,1980-81,348.0
Kerala,1980-81,391.0
Madhya Pradesh,1980-81,397.0
Maharashtra,1980-81,754.0
Orissa,1980-81,274.0
Punjab,1980-81,252.0
Rajasthan,1980-81,323.0
Tamil Nadu,1980-81,506.0
Uttar Pradesh,1980-81,821.0
West Bengal,1980-81,592.0
Arunachal Pradesh,1980-81,430.7083333333333
Assam,1980-81,171.0
Himachal Pradesh,1980-81,106.0
Jammu and Kashmir,1980-81,125.0
Manipur,1980-81,41.0
Meghalaya,1980-81,30.0
Mizoram,1980-81,453.24
Nagaland,1980-81,38.0
Sikkim,1980-81,9.0
Tripura,1980-81,49.0
Uttarakhand,1980-81,2669.1
NCT Delhi,1980-81,3847.1176470588234
Puducherry,1980-81,1122.0
Andhra Pradesh,1981-82,613.0
Bihar,1981-82,598.0
Chhattisgarh,1981-82,5289.3
Goa,1981-82,532.3333333333334
Gujarat,1981-82,472.0
Haryana,1981-82,173.0
Jharkhand,1981-82,6644.666666666667
Karnataka,1981-82,400.0
Kerala,1981-82,424.0
Madhya Pradesh,1981-82,456.0
Maharashtra,1981-82,847.0
Orissa,1981-82,258.0
Punjab,1981-82,280.0
Rajasthan,1981-82,425.0
Tamil Nadu,1981-82,605.0
Uttar Pradesh,1981-82,824.0
West Bengal,1981-82,691.0
Arunachal Pradesh,1981-82,430.7083333333333
Assam,1981-82,176.0
Himachal Pradesh,1981-82,113.0
Jammu and Kashmir,1981-82,134.0
Manipur,1981-82,44.0
Meghalaya,1981-82,35.0
Mizoram,1981-82,453.24
Nagaland,1981-82,40.0
Sikkim,1981-82,11.0
Tripura,1981-82,40.0
Uttarakhand,1981-82,2669.1
NCT Delhi,1981-82,3847.1176470588234
Puducherry,1981-82,1122.0
Andhra Pradesh,1982-83,697.0
Bihar,1982-83,673.0
Chhattisgarh,1982-83,5289.3
Goa,1982-83,532.3333333333334
Gujarat,1982-83,643.0
Haryana,1982-83,235.0
Jharkhand,1982-83,6644.666666666667
Karnataka,1982-83,485.0
Kerala,1982-83,441.0
Madhya Pradesh,1982-83,547.0
Maharashtra,1982-83,1031.0
Orissa,1982-83,470.0
Punjab,1982-83,292.0
Rajasthan,1982-83,498.0
Tamil Nadu,1982-83,798.0
Uttar Pradesh,1982-83,1015.0
West Bengal,1982-83,843.0
Arunachal Pradesh,1982-83,430.7083333333333
Assam,1982-83,215.0
Himachal Pradesh,1982-83,128.0
Jammu and Kashmir,1982-83,149.0
Manipur,1982-83,47.0
Meghalaya,1982-83,40.0
Mizoram,1982-83,453.24
Nagaland,1982-83,48.0
Sikkim,1982-83,11.0
Tripura,1982-83,47.0
Uttarakhand,1982-83,2669.1
NCT Delhi,1982-83,3847.1176470588234
Puducherry,1982-83,1122.0
Andhra Pradesh,1983-84,1073.0
Bihar,1983-84,677.0
Chhattisgarh,1983-84,5289.3
Goa,1983-84,532.3333333333334
Gujarat,1983-84,669.0
Haryana,1983-84,242.0
Jharkhand,1983-84,6644.666666666667
Karnataka,1983-84,525.0
Kerala,1983-84,557.0
Madhya Pradesh,1983-84,677.0
Maharashtra,1983-84,1282.0
Orissa,1983-84,357.0
Punjab,1983-84,354.0
Rajasthan,1983-84,544.0
Tamil Nadu,1983-84,931.0
Uttar Pradesh,1983-84,1131.0
West Bengal,1983-84,856.0
Arunachal Pradesh,1983-84,430.7083333333333
Assam,1983-84,339.0
Himachal Pradesh,1983-84,139.0
Jammu and Kashmir,1983-84,179.0
Manipur,1983-84,61.0
Meghalaya,1983-84,54.0
Mizoram,1983-84,453.24
Nagaland,1983-84,62.0
Sikkim,1983-84,16.0
Tripura,1983-84,61.0
Uttarakhand,1983-84,2669.1
NCT Delhi,1983-84,3847.1176470588234
Puducherry,1983-84,1122.0
Andhra Pradesh,1984-85,1193.0
Bihar,1984-85,758.0
Chhattisgarh,1984-85,5289.3
Goa,1984-85,532.3333333333334
Gujarat,1984-85,841.0
Haryana,1984-85,281.0
Jharkhand,1984-85,6644.666666666667
Karnataka,1984-85,658.0
Kerala,1984-85,618.0
Madhya Pradesh,1984-85,773.0
Maharashtra,1984-85,1434.0
Orissa,1984-85,406.0
Punjab,1984-85,388.0
Rajasthan,1984-85,625.0
Tamil Nadu,1984-85,972.0
Uttar Pradesh,1984-85,1333.0
West Bengal,1984-85,1115.0
Arunachal Pradesh,1984-85,430.7083333333333
Assam,1984-85,382.0
Himachal Pradesh,1984-85,156.0
Jammu and Kashmir,1984-85,215.0
Manipur,1984-85,65.0
Meghalaya,1984-85,54.0
Mizoram,1984-85,453.24
Nagaland,1984-85,62.0
Sikkim,1984-85,20.0
Tripura,1984-85,70.0
Uttarakhand,1984-85,2669.1
NCT Delhi,1984-85,3847.1176470588234
Puducherry,1984-85,1122.0
Andhra Pradesh,1985-86,1470.0
Bihar,1985-86,1231.0
Chhattisgarh,1985-86,5289.3
Goa,1985-86,532.3333333333334
Gujarat,1985-86,1046.0
Haryana,1985-86,369.0
Jharkhand,1985-86,6644.666666666667
Karnataka,1985-86,1010.0
Kerala,1985-86,918.0
Madhya Pradesh,1985-86,1083.0
Maharashtra,1985-86,1968.0
Orissa,1985-86,559.0
Punjab,1985-86,681.0
Rajasthan,1985-86,768.0
Tamil Nadu,1985-86,1444.0
Uttar Pradesh,1985-86,1861.0
West Bengal,1985-86,1202.0
Arunachal Pradesh,1985-86,430.7083333333333
Assam,1985-86,467.0
Himachal Pradesh,1985-86,223.0
Jammu and Kashmir,1985-86,273.0
Manipur,1985-86,80.0
Meghalaya,1985-86,70.0
Mizoram,1985-86,74.0
Nagaland,1985-86,84.0
Sikkim,1985-86,35.0
Tripura,1985-86,115.0
Uttarakhand,1985-86,2669.1
NCT Delhi,1985-86,3847.1176470588234
Puducherry,1985-86,1122.0
Andhra Pradesh,1986-87,1849.0
Bihar,1986-87,1353.0
Chhattisgarh,1986-87,5289.3
Goa,1986-87,91.0
Gujarat,1986-87,1252.0
Haryana,1986-87,360.0
Jharkhand,1986-87,6644.666666666667
Karnataka,1986-87,1150.0
Kerala,1986-87,942.0
Madhya Pradesh,1986-87,1237.0
Maharashtra,1986-87,2480.0
Orissa,1986-87,668.0
Punjab,1986-87,369.0
Rajasthan,1986-87,971.0
Tamil Nadu,1986-87,1559.0
Uttar Pradesh,1986-87,2075.0
West Bengal,1986-87,1500.0
Arunachal Pradesh,1986-87,78.0
Assam,1986-87,597.0
Himachal Pradesh,1986-87,251.0
Jammu and Kashmir,1986-87,338.0
Manipur,1986-87,118.0
Meghalaya,1986-87,79.0
Mizoram,1986-87,12.0
Nagaland,1986-87,110.0
Sikkim,1986-87,40.0
Tripura,1986-87,133.0
Uttarakhand,1986-87,2669.1
NCT Delhi,1986-87,3847.1176470588234
Puducherry,1986-87,1122.0
Andhra Pradesh,1987-88,1884.0
Bihar,1987-88,1431.0
Chhattisgarh,1987-88,5289.3
Goa,1987-88,86.0
Gujarat,1987-88,1537.0
Haryana,1987-88,488.0
Jharkhand,1987-88,6644.666666666667
Karnataka,1987-88,1361.0
Kerala,1987-88,976.0
Madhya Pradesh,1987-88,1527.0
Maharashtra,1987-88,2603.0
Orissa,1987-88,742.0
Punjab,1987-88,595.0
Rajasthan,1987-88,1439.0
Tamil Nadu,1987-88,1735.0
Uttar Pradesh,1987-88,2337.0
West Bengal,1987-88,1652.0
Arunachal Pradesh,1987-88,102.0
Assam,1987-88,681.0
Himachal Pradesh,1987-88,322.0
Jammu and Kashmir,1987-88,460.0
Manipur,1987-88,111.0
Meghalaya,1987-88,91.0
Mizoram,1987-88,126.0
Nagaland,1987-88,150.0
Sikkim,1987-88,46.0
Tripura,1987-88,170.0
Uttarakhand,1987-88,2669.1
NCT Delhi,1987-88,3847.1176470588234
Puducherry,1987-88,1122.0
Andhra Pradesh,1988-89,2103.0
Bihar,1988-89,1849.0
Chhattisgarh,1988-89,5289.3
Goa,1988-89,122.0
Gujarat,1988-89,1590.0
Haryana,1988-89,650.0
Jharkhand,1988-89,6644.666666666667
Karnataka,1988-89,1441.0
Kerala,1988-89,1109.0
Madhya Pradesh,1988-89,1810.0
Maharashtra,1988-89,2937.0
Orissa,1988-89,843.0
Punjab,1988-89,929.0
Rajasthan,1988-89,1412.0
Tamil Nadu,1988-89,1921.0
Uttar Pradesh,1988-89,2919.0
West Bengal,1988-89,1852.0
Arunachal Pradesh,1988-89,113.0
Assam,1988-89,727.0
Himachal Pradesh,1988-89,398.0
Jammu and Kashmir,1988-89,458.0
Manipur,1988-89,151.0
Meghalaya,1988-89,119.0
Mizoram,1988-89,117.0
Nagaland,1988-89,154.0
Sikkim,1988-89,57.0
Tripura,1988-89,216.0
Uttarakhand,1988-89,2669.1
NCT Delhi,1988-89,3847.1176470588234
Puducherry,1988-89,1122.0
Andhra Pradesh,1989-90,2387.0
Bihar,1989-90,2027.0
Chhattisgarh,1989-90,5289.3
Goa,1989-90,136.0
Gujarat,1989-90,1726.0
Haryana,1989-90,695.0
Jharkhand,1989-90,6644.666666666667
Karnataka,1989-90,1534.0
Kerala,1989-90,1197.0
Madhya Pradesh,1989-90,1877.0
Maharashtra,1989-90,3446.0
Orissa,1989-90,938.0
Punjab,1989-90,990.0
Rajasthan,1989-90,1405.0
Tamil Nadu,1989-90,2339.0
Uttar Pradesh,1989-90,3610.0
West Bengal,1989-90,2092.0
Arunachal Pradesh,1989-90,126.0
Assam,1989-90,769.0
Himachal Pradesh,1989-90,373.0
Jammu and Kashmir,1989-90,514.0
Manipur,1989-90,155.0
Meghalaya,1989-90,130.0
