Exp_Category,State,Year,Value
Revenue_expenditure,Andhra Pradesh,1980-81,1161.0
Revenue_expenditure,Bihar,1980-81,929.0
Revenue_expenditure,Chhattisgarh,1980-81,8667.8
Revenue_expenditure,Goa,1980-81,1385.25
Revenue_expenditure,Gujarat,1980-81,903.0
Revenue_expenditure,Haryana,1980-81,401.0
Revenue_expenditure,Jharkhand,1980-81,10803.888888888889
Revenue_expenditure,Karnataka,1980-81,895.0
Revenue_expenditure,Kerala,1980-81,668.0
Revenue_expenditure,Madhya Pradesh,1980-81,1016.0
Revenue_expenditure,Maharashtra,1980-81,1917.0
Revenue_expenditure,Orissa,1980-81,541.0
Revenue_expenditure,Punjab,1980-81,550.0
Revenue_expenditure,Rajasthan,1980-81,688.0
Revenue_expenditure,Tamil Nadu,1980-81,1152.0
Revenue_expenditure,Uttar Pradesh,1980-81,1716.0
Revenue_expenditure,West Bengal,1980-81,1115.0
Revenue_expenditure,Arunachal Pradesh,1980-81,1007.2083333333334
Revenue_expenditure,Assam,1980-81,357.0
Revenue_expenditure,Himachal Pradesh,1980-81,188.0
Revenue_expenditure,Jammu and Kashmir,1980-81,273.0
Revenue_expenditure,Manipur,1980-81,71.0
Revenue_expenditure,Meghalaya,1980-81,60.0
Revenue_expenditure,Mizoram,1980-81,907.28
Revenue_expenditure,Nagaland,1980-81,92.0
Revenue_expenditure,Sikkim,1980-81,30.0
Revenue_expenditure,Tripura,1980-81,87.0
Revenue_expenditure,Uttarakhand,1980-81,5547.9
Revenue_expenditure,NCT Delhi,1980-81,5231.35294117647
Revenue_expenditure,Puducherry,1980-81,2453.6
Revenue_expenditure,Andhra Pradesh,1981-82,1386.0
Revenue_expenditure,Bihar,1981-82,1167.0
Revenue_expenditure,Chhattisgarh,1981-82,8667.8
Revenue_expenditure,Goa,1981-82,1385.25
Revenue_expenditure,Gujarat,1981-82,1039.0
Revenue_expenditure,Haryana,1981-82,486.0
Revenue_expenditure,Jharkhand,1981-82,10803.888888888889
Revenue_expenditure,Karnataka,1981-82,1002.0
Revenue_expenditure,Kerala,1981-82,755.0
Revenue_expenditure,Madhya Pradesh,1981-82,1115.0
Revenue_expenditure,Maharashtra,1981-82,2238.0
Revenue_expenditure,Orissa,1981-82,574.0
Revenue_expenditure,Punjab,1981-82,620.0
Revenue_expenditure,Rajasthan,1981-82,823.0
Revenue_expenditure,Tamil Nadu,1981-82,1360.0
Revenue_expenditure,Uttar Pradesh,1981-82,1906.0
Revenue_expenditure,West Bengal,1981-82,1312.0
Revenue_expenditure,Arunachal Pradesh,1981-82,1007.2083333333334
Revenue_expenditure,Assam,1981-82,402.0
Revenue_expenditure,Himachal Pradesh,1981-82,212.0
Revenue_expenditure,Jammu and Kashmir,1981-82,296.0
Revenue_expenditure,Manipur,1981-82,85.0
Revenue_expenditure,Meghalaya,1981-82,74.0
Revenue_expenditure,Mizoram,1981-82,907.28
Revenue_expenditure,Nagaland,1981-82,101.0
Revenue_expenditure,Sikkim,1981-82,32.0
Revenue_expenditure,Tripura,1981-82,91.0
Revenue_expenditure,Uttarakhand,1981-82,5547.9
Revenue_expenditure,NCT Delhi,1981-82,5231.35294117647
Revenue_expenditure,Puducherry,1981-82,2453.6
Revenue_expenditure,Andhra Pradesh,1982-83,1507.0
Revenue_expenditure,Bihar,1982-83,1357.0
Revenue_expenditure,Chhattisgarh,1982-83,8667.8
Revenue_expenditure,Goa,1982-83,1385.25
Revenue_expenditure,Gujarat,1982-83,1283.0
Revenue_expenditure,Haryana,1982-83,567.0
Revenue_expenditure,Jharkhand,1982-83,10803.888888888889
Revenue_expenditure,Karnataka,1982-83,1239.0
Revenue_expenditure,Kerala,1982-83,783.0
Revenue_expenditure,Madhya Pradesh,1982-83,1328.0
Revenue_expenditure,Maharashtra,1982-83,2628.0
Revenue_expenditure,Orissa,1982-83,825.0
Revenue_expenditure,Punjab,1982-83,684.0
Revenue_expenditure,Rajasthan,1982-83,955.0
Revenue_expenditure,Tamil Nadu,1982-83,1576.0
Revenue_expenditure,Uttar Pradesh,1982-83,2364.0
Revenue_expenditure,West Bengal,1982-83,1622.0
Revenue_expenditure,Arunachal Pradesh,1982-83,1007.2083333333334
Revenue_expenditure,Assam,1982-83,483.0
Revenue_expenditure,Himachal Pradesh,1982-83,263.0
Revenue_expenditure,Jammu and Kashmir,1982-83,326.0
Revenue_expenditure,Manipur,1982-83,92.0
Revenue_expenditure,Meghalaya,1982-83,85.0
Revenue_expenditure,Mizoram,1982-83,907.28
Revenue_expenditure,Nagaland,1982-83,128.0
Revenue_expenditure,Sikkim,1982-83,36.0
Revenue_expenditure,Tripura,1982-83,109.0
Revenue_expenditure,Uttarakhand,1982-83,5547.9
Revenue_expenditure,NCT Delhi,1982-83,5231.35294117647
Revenue_expenditure,Puducherry,1982-83,2453.6
Revenue_expenditure,Andhra Pradesh,1983-84,2042.0
Revenue_expenditure,Bihar,1983-84,1432.0
Revenue_expenditure,Chhattisgarh,1983-84,8667.8
Revenue_expenditure,Goa,1983-84,1385.25
Revenue_expenditure,Gujarat,1983-84,1426.0
Revenue_expenditure,Haryana,1983-84,623.0
Revenue_expenditure,Jharkhand,1983-84,10803.888888888889
Revenue_expenditure,Karnataka,1983-84,1417.0
Revenue_expenditure,Kerala,1983-84,992.0
Revenue_expenditure,Madhya Pradesh,1983-84,1624.0
Revenue_expenditure,Maharashtra,1983-84,3181.0
Revenue_expenditure,Orissa,1983-84,783.0
Revenue_expenditure,Punjab,1983-84,820.0
Revenue_expenditure,Rajasthan,1983-84,1099.0
Revenue_expenditure,Tamil Nadu,1983-84,1911.0
Revenue_expenditure,Uttar Pradesh,1983-84,2761.0
Revenue_expenditure,West Bengal,1983-84,1739.0
Revenue_expenditure,Arunachal Pradesh,1983-84,1007.2083333333334
Revenue_expenditure,Assam,1983-84,688.0
Revenue_expenditure,Himachal Pradesh,1983-84,284.0
Revenue_expenditure,Jammu and Kashmir,1983-84,422.0
Revenue_expenditure,Manipur,1983-84,105.0
Revenue_expenditure,Meghalaya,1983-84,100.0
Revenue_expenditure,Mizoram,1983-84,907.28
Revenue_expenditure,Nagaland,1983-84,165.0
Revenue_expenditure,Sikkim,1983-84,49.0
Revenue_expenditure,Tripura,1983-84,140.0
Revenue_expenditure,Uttarakhand,1983-84,5547.9
Revenue_expenditure,NCT Delhi,1983-84,5231.35294117647
Revenue_expenditure,Puducherry,1983-84,2453.6
Revenue_expenditure,Andhra Pradesh,1984-85,2463.0
Revenue_expenditure,Bihar,1984-85,1687.0
Revenue_expenditure,Chhattisgarh,1984-85,8667.8
