State,Year,Value
Andhra Pradesh,1980-81,1610
Bihar,1980-81,1791
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,1442
Haryana,1980-81,607
Jharkhand,1980-81,–
Karnataka,1980-81,1302
Kerala,1980-81,855
Madhya Pradesh,1980-81,1590
Maharashtra,1980-81,2613
Orissa,1980-81,877
Punjab,1980-81,817
Rajasthan,1980-81,1120
Tamil Nadu,1980-81,1686
Uttar Pradesh,1980-81,2668
West Bengal,1980-81,1552
Arunachal Pradesh,1980-81,–
Assam,1980-81,758
Himachal Pradesh,1980-81,338
Jammu and Kashmir,1980-81,428
Manipur,1980-81,159
Meghalaya,1980-81,102
Mizoram,1980-81,–
Nagaland,1980-81,164
Sikkim,1980-81,43
Tripura,1980-81,143
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,1831
Bihar,1981-82,1871
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,1565
Haryana,1981-82,696
Jharkhand,1981-82,–
Karnataka,1981-82,1409
Kerala,1981-82,1086
Madhya Pradesh,1981-82,1677
Maharashtra,1981-82,3088
Orissa,1981-82,814
Punjab,1981-82,996
Rajasthan,1981-82,1360
Tamil Nadu,1981-82,2006
Uttar Pradesh,1981-82,2942
West Bengal,1981-82,1838
Arunachal Pradesh,1981-82,–
Assam,1981-82,618
Himachal Pradesh,1981-82,297
Jammu and Kashmir,1981-82,548
Manipur,1981-82,128
Meghalaya,1981-82,101
Mizoram,1981-82,–
Nagaland,1981-82,132
Sikkim,1981-82,45
Tripura,1981-82,124
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,1933
Bihar,1982-83,1940
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,1949
Haryana,1982-83,917
Jharkhand,1982-83,–
Karnataka,1982-83,1739
Kerala,1982-83,996
Madhya Pradesh,1982-83,1938
Maharashtra,1982-83,3585
Orissa,1982-83,1191
Punjab,1982-83,1122
Rajasthan,1982-83,1419
Tamil Nadu,1982-83,2292
Uttar Pradesh,1982-83,3490
West Bengal,1982-83,2072
Arunachal Pradesh,1982-83,–
Assam,1982-83,691
Himachal Pradesh,1982-83,353
Jammu and Kashmir,1982-83,504
Manipur,1982-83,137
Meghalaya,1982-83,117
Mizoram,1982-83,–
Nagaland,1982-83,166
Sikkim,1982-83,47
Tripura,1982-83,145
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,2588
Bihar,1983-84,2144
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,2178
Haryana,1983-84,960
Jharkhand,1983-84,–
Karnataka,1983-84,2002
Kerala,1983-84,1322
Madhya Pradesh,1983-84,2324
Maharashtra,1983-84,4244
Orissa,1983-84,997
Punjab,1983-84,1434
Rajasthan,1983-84,1585
Tamil Nadu,1983-84,2752
Uttar Pradesh,1983-84,4116
West Bengal,1983-84,2181
Arunachal Pradesh,1983-84,–
Assam,1983-84,942
Himachal Pradesh,1983-84,385
Jammu and Kashmir,1983-84,620
Manipur,1983-84,158
Meghalaya,1983-84,139
Mizoram,1983-84,–
Nagaland,1983-84,215
Sikkim,1983-84,67
Tripura,1983-84,188
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,3119
Bihar,1984-85,2408
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,2463
Haryana,1984-85,1120
Jharkhand,1984-85,–
Karnataka,1984-85,2615
Kerala,1984-85,1572
Madhya Pradesh,1984-85,2522
Maharashtra,1984-85,5063
Orissa,1984-85,1281
Punjab,1984-85,1726
Rajasthan,1984-85,1838
Tamil Nadu,1984-85,2950
Uttar Pradesh,1984-85,5186
West Bengal,1984-85,2738
Arunachal Pradesh,1984-85,–
Assam,1984-85,1165
Himachal Pradesh,1984-85,479
Jammu and Kashmir,1984-85,747
Manipur,1984-85,223
Meghalaya,1984-85,161
Mizoram,1984-85,–
Nagaland,1984-85,202
Sikkim,1984-85,76
Tripura,1984-85,204
Uttarakhand,1984-85,–
NCT Delhi,1984-85,–
Puducherry,1984-85,–
Andhra Pradesh,1985-86,3413
Bihar,1985-86,2966
Chhattisgarh,1985-86,–
Goa,1985-86,–
Gujarat,1985-86,2625
Haryana,1985-86,1315
Jharkhand,1985-86,–
Karnataka,1985-86,2894
Kerala,1985-86,1969
Madhya Pradesh,1985-86,2916
Maharashtra,1985-86,5732
Orissa,1985-86,1410
Punjab,1985-86,1963
Rajasthan,1985-86,2116
Tamil Nadu,1985-86,3309
Uttar Pradesh,1985-86,5331
West Bengal,1985-86,2974
Arunachal Pradesh,1985-86,–
Assam,1985-86,1207
Himachal Pradesh,1985-86,588
Jammu and Kashmir,1985-86,889
Manipur,1985-86,247
Meghalaya,1985-86,188
Mizoram,1985-86,177
Nagaland,1985-86,272
Sikkim,1985-86,104
Tripura,1985-86,259
Uttarakhand,1985-86,–
NCT Delhi,1985-86,–
Puducherry,1985-86,–
Andhra Pradesh,1986-87,4068
Bihar,1986-87,3360
Chhattisgarh,1986-87,–
Goa,1986-87,255
Gujarat,1986-87,3323
Haryana,1986-87,1509
Jharkhand,1986-87,–
Karnataka,1986-87,3069
Kerala,1986-87,2162
Madhya Pradesh,1986-87,3349
Maharashtra,1986-87,6412
Orissa,1986-87,1730
Punjab,1986-87,1829
Rajasthan,1986-87,2557
Tamil Nadu,1986-87,3612
Uttar Pradesh,1986-87,6225
West Bengal,1986-87,3508
Arunachal Pradesh,1986-87,251
Assam,1986-87,1586
Himachal Pradesh,1986-87,648
Jammu and Kashmir,1986-87,989
Manipur,1986-87,299
Meghalaya,1986-87,230
Mizoram,1986-87,55
Nagaland,1986-87,344
Sikkim,1986-87,115
Tripura,1986-87,300
Uttarakhand,1986-87,–
NCT Delhi,1986-87,–
Puducherry,1986-87,–
Andhra Pradesh,1987-88,4294
Bihar,1987-88,3914
Chhattisgarh,1987-88,–
Goa,1987-88,258
Gujarat,1987-88,4089
Haryana,1987-88,1663
Jharkhand,1987-88,–
Karnataka,1987-88,3437
Kerala,1987-88,2251
Madhya Pradesh,1987-88,3932
Maharashtra,1987-88,6929
Orissa,1987-88,1990
Punjab,1987-88,2623
Rajasthan,1987-88,3384
Tamil Nadu,1987-88,4196
Uttar Pradesh,1987-88,6901
West Bengal,1987-88,3941
Arunachal Pradesh,1987-88,348
Assam,1987-88,1794
Himachal Pradesh,1987-88,805
Jammu and Kashmir,1987-88,1269
Manipur,1987-88,319
Meghalaya,1987-88,264
Mizoram,1987-88,306
Nagaland,1987-88,436
Sikkim,1987-88,139
Tripura,1987-88,393
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,5223
Bihar,1988-89,4324
Chhattisgarh,1988-89,–
Goa,1988-89,284
Gujarat,1988-89,4374
Haryana,1988-89,1879
Jharkhand,1988-89,–
Karnataka,1988-89,3778
Kerala,1988-89,2521
Madhya Pradesh,1988-89,4596
Maharashtra,1988-89,8102
Orissa,1988-89,2261
Punjab,1988-89,2666
Rajasthan,1988-89,3415
Tamil Nadu,1988-89,4617
Uttar Pradesh,1988-89,8079
West Bengal,1988-89,4279
Arunachal Pradesh,1988-89,326
Assam,1988-89,1855
Himachal Pradesh,1988-89,985
Jammu and Kashmir,1988-89,1404
Manipur,1988-89,393
Meghalaya,1988-89,318
Mizoram,1988-89,287
Nagaland,1988-89,457
Sikkim,1988-89,164
Tripura,1988-89,492
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,5768
Bihar,1989-90,5219
Chhattisgarh,1989-90,–
Goa,1989-90,327
Gujarat,1989-90,4844
Haryana,1989-90,2121
Jharkhand,1989-90,–
Karnataka,1989-90,4401
Kerala,1989-90,2889
Madhya Pradesh,1989-90,4823
Maharashtra,1989-90,9737
Orissa,1989-90,2475
Punjab,1989-90,2887
Rajasthan,1989-90,3565
Tamil Nadu,1989-90,5662
Uttar Pradesh,1989-90,9637
West Bengal,1989-90,4883
Arunachal Pradesh,1989-90,392
Assam,1989-90,2266
Himachal Pradesh,1989-90,992
Jammu and Kashmir,1989-90,1611
Manipur,1989-90,423
Meghalaya,1989-90,351
Mizoram,1989-90,303
Nagaland,1989-90,515
Sikkim,1989-90,167
Tripura,1989-90,525
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,6581
Bihar,1990-91,6217
Chhattisgarh,1990-91,–
Goa,1990-91,395
Gujarat,1990-91,5470
Haryana,1990-91,2397
Jharkhand,1990-91,–
Karnataka,1990-91,4979
Kerala,1990-91,3376
Madhya Pradesh,1990-91,5899
Maharashtra,1990-91,10772
Orissa,1990-91,3051
Punjab,1990-91,3400
Rajasthan,1990-91,4728
Tamil Nadu,1990-91,6621
Uttar Pradesh,1990-91,12240
West Bengal,1990-91,6028
Arunachal Pradesh,1990-91,398
Assam,1990-91,2689
Himachal Pradesh,1990-91,1118
Jammu and Kashmir,1990-91,2021
Manipur,1990-91,453
Meghalaya,1990-91,406
Mizoram,1990-91,502
Nagaland,1990-91,552
Sikkim,1990-91,183
Tripura,1990-91,613
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,7758
Bihar,1991-92,6805
Chhattisgarh,1991-92,–
Goa,1991-92,466
Gujarat,1991-92,6908
Haryana,1991-92,2727
Jharkhand,1991-92,–
Karnataka,1991-92,6248
Kerala,1991-92,4005
Madhya Pradesh,1991-92,6637
Maharashtra,1991-92,12052
Orissa,1991-92,3640
Punjab,1991-92,5012
Rajasthan,1991-92,5810
Tamil Nadu,1991-92,9600
Uttar Pradesh,1991-92,13246
West Bengal,1991-92,6191
Arunachal Pradesh,1991-92,443
Assam,1991-92,2763
Himachal Pradesh,1991-92,2341
Jammu and Kashmir,1991-92,2286
Manipur,1991-92,533
Meghalaya,1991-92,492
Mizoram,1991-92,414
Nagaland,1991-92,648
