State,Year,Value
Andhra Pradesh,1980-81,449
Bihar,1980-81,862
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,539
Haryana,1980-81,207
Jharkhand,1980-81,–
Karnataka,1980-81,407
Kerala,1980-81,188
Madhya Pradesh,1980-81,573
Maharashtra,1980-81,696
Orissa,1980-81,336
Punjab,1980-81,267
Rajasthan,1980-81,432
Tamil Nadu,1980-81,534
Uttar Pradesh,1980-81,952
West Bengal,1980-81,437
Arunachal Pradesh,1980-81,–
Assam,1980-81,401
Himachal Pradesh,1980-81,150
Jammu and Kashmir,1980-81,154
Manipur,1980-81,88
Meghalaya,1980-81,42
Mizoram,1980-81,–
Nagaland,1980-81,73
Sikkim,1980-81,13
Tripura,1980-81,56
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,445
Bihar,1981-82,704
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,526
Haryana,1981-82,211
Jharkhand,1981-82,–
Karnataka,1981-82,406
Kerala,1981-82,331
Madhya Pradesh,1981-82,562
Maharashtra,1981-82,850
Orissa,1981-82,240
Punjab,1981-82,376
Rajasthan,1981-82,537
Tamil Nadu,1981-82,646
Uttar Pradesh,1981-82,1036
West Bengal,1981-82,527
Arunachal Pradesh,1981-82,–
Assam,1981-82,215
Himachal Pradesh,1981-82,84
Jammu and Kashmir,1981-82,252
Manipur,1981-82,43
Meghalaya,1981-82,27
Mizoram,1981-82,–
Nagaland,1981-82,31
Sikkim,1981-82,13
Tripura,1981-82,33
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,427
Bihar,1982-83,583
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,666
Haryana,1982-83,350
Jharkhand,1982-83,–
Karnataka,1982-83,500
Kerala,1982-83,213
Madhya Pradesh,1982-83,610
Maharashtra,1982-83,957
Orissa,1982-83,367
Punjab,1982-83,438
Rajasthan,1982-83,464
Tamil Nadu,1982-83,716
Uttar Pradesh,1982-83,1127
West Bengal,1982-83,451
Arunachal Pradesh,1982-83,–
Assam,1982-83,208
Himachal Pradesh,1982-83,90
Jammu and Kashmir,1982-83,178
Manipur,1982-83,44
Meghalaya,1982-83,32
Mizoram,1982-83,–
Nagaland,1982-83,37
Sikkim,1982-83,11
Tripura,1982-83,36
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,546
Bihar,1983-84,711
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,752
Haryana,1983-84,338
Jharkhand,1983-84,–
Karnataka,1983-84,586
Kerala,1983-84,329
Madhya Pradesh,1983-84,700
Maharashtra,1983-84,1063
Orissa,1983-84,214
Punjab,1983-84,614
Rajasthan,1983-84,487
Tamil Nadu,1983-84,841
Uttar Pradesh,1983-84,1355
West Bengal,1983-84,441
Arunachal Pradesh,1983-84,–
Assam,1983-84,254
Himachal Pradesh,1983-84,101
Jammu and Kashmir,1983-84,198
Manipur,1983-84,53
Meghalaya,1983-84,40
Mizoram,1983-84,–
Nagaland,1983-84,50
Sikkim,1983-84,18
Tripura,1983-84,47
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,656
Bihar,1984-85,721
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,762
Haryana,1984-85,359
Jharkhand,1984-85,–
Karnataka,1984-85,732
Kerala,1984-85,433
Madhya Pradesh,1984-85,788
Maharashtra,1984-85,1183
Orissa,1984-85,384
Punjab,1984-85,785
Rajasthan,1984-85,535
Tamil Nadu,1984-85,740
Uttar Pradesh,1984-85,1894
West Bengal,1984-85,588
Arunachal Pradesh,1984-85,–
Assam,1984-85,330
Himachal Pradesh,1984-85,134
Jammu and Kashmir,1984-85,238
Manipur,1984-85,89
Meghalaya,1984-85,44
Mizoram,1984-85,–
Nagaland,1984-85,39
Sikkim,1984-85,18
Tripura,1984-85,57
Uttarakhand,1984-85,–
NCT Delhi,1984-85,–
Puducherry,1984-85,–
Andhra Pradesh,1985-86,633
Bihar,1985-86,868
Chhattisgarh,1985-86,–
Goa,1985-86,–
Gujarat,1985-86,653
Haryana,1985-86,461
Jharkhand,1985-86,–
Karnataka,1985-86,796
Kerala,1985-86,523
Madhya Pradesh,1985-86,813
Maharashtra,1985-86,1241
Orissa,1985-86,410
Punjab,1985-86,800
Rajasthan,1985-86,609
Tamil Nadu,1985-86,859
Uttar Pradesh,1985-86,1629
West Bengal,1985-86,714
Arunachal Pradesh,1985-86,–
Assam,1985-86,264
Himachal Pradesh,1985-86,177
Jammu and Kashmir,1985-86,294
Manipur,1985-86,91
Meghalaya,1985-86,53
Mizoram,1985-86,46
Nagaland,1985-86,69
Sikkim,1985-86,26
Tripura,1985-86,69
Uttarakhand,1985-86,–
NCT Delhi,1985-86,–
Puducherry,1985-86,–
Andhra Pradesh,1986-87,824
Bihar,1986-87,1083
Chhattisgarh,1986-87,–
Goa,1986-87,83
Gujarat,1986-87,853
Haryana,1986-87,542
Jharkhand,1986-87,–
Karnataka,1986-87,864
Kerala,1986-87,507
Madhya Pradesh,1986-87,818
Maharashtra,1986-87,1433
Orissa,1986-87,482
Punjab,1986-87,627
Rajasthan,1986-87,691
Tamil Nadu,1986-87,836
Uttar Pradesh,1986-87,1876
West Bengal,1986-87,810
Arunachal Pradesh,1986-87,78
Assam,1986-87,437
Himachal Pradesh,1986-87,183
Jammu and Kashmir,1986-87,336
Manipur,1986-87,101
Meghalaya,1986-87,73
Mizoram,1986-87,8
Nagaland,1986-87,81
Sikkim,1986-87,34
Tripura,1986-87,68
Uttarakhand,1986-87,–
NCT Delhi,1986-87,–
Puducherry,1986-87,–
Andhra Pradesh,1987-88,853
Bihar,1987-88,1295
Chhattisgarh,1987-88,–
Goa,1987-88,90
Gujarat,1987-88,996
Haryana,1987-88,375
Jharkhand,1987-88,–
Karnataka,1987-88,770
Kerala,1987-88,470
Madhya Pradesh,1987-88,879
Maharashtra,1987-88,1425
Orissa,1987-88,582
Punjab,1987-88,990
Rajasthan,1987-88,845
Tamil Nadu,1987-88,821
Uttar Pradesh,1987-88,1821
West Bengal,1987-88,913
Arunachal Pradesh,1987-88,102
Assam,1987-88,469
Himachal Pradesh,1987-88,196
Jammu and Kashmir,1987-88,408
Manipur,1987-88,104
Meghalaya,1987-88,74
Mizoram,1987-88,60
Nagaland,1987-88,107
Sikkim,1987-88,40
Tripura,1987-88,98
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,977
Bihar,1988-89,1113
Chhattisgarh,1988-89,–
Goa,1988-89,85
Gujarat,1988-89,1011
Haryana,1988-89,436
Jharkhand,1988-89,–
Karnataka,1988-89,776
Kerala,1988-89,460
Madhya Pradesh,1988-89,978
Maharashtra,1988-89,1561
Orissa,1988-89,602
Punjab,1988-89,798
Rajasthan,1988-89,845
Tamil Nadu,1988-89,854
Uttar Pradesh,1988-89,1822
West Bengal,1988-89,804
Arunachal Pradesh,1988-89,111
Assam,1988-89,420
Himachal Pradesh,1988-89,216
Jammu and Kashmir,1988-89,439
Manipur,1988-89,115
Meghalaya,1988-89,94
Mizoram,1988-89,56
Nagaland,1988-89,114
Sikkim,1988-89,51
Tripura,1988-89,112
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,1053
Bihar,1989-90,1275
Chhattisgarh,1989-90,–
Goa,1989-90,98
Gujarat,1989-90,1117
Haryana,1989-90,419
Jharkhand,1989-90,–
Karnataka,1989-90,918
Kerala,1989-90,591
Madhya Pradesh,1989-90,1044
Maharashtra,1989-90,1835
Orissa,1989-90,629
Punjab,1989-90,866
Rajasthan,1989-90,868
Tamil Nadu,1989-90,931
Uttar Pradesh,1989-90,1983
West Bengal,1989-90,912
Arunachal Pradesh,1989-90,134
Assam,1989-90,598
Himachal Pradesh,1989-90,209
Jammu and Kashmir,1989-90,530
Manipur,1989-90,123
Meghalaya,1989-90,92
Mizoram,1989-90,64
Nagaland,1989-90,122
Sikkim,1989-90,52
Tripura,1989-90,105
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,1076
Bihar,1990-91,1329
Chhattisgarh,1990-91,–
Goa,1990-91,120
Gujarat,1990-91,1388
Haryana,1990-91,464
Jharkhand,1990-91,–
Karnataka,1990-91,1008
Kerala,1990-91,552
Madhya Pradesh,1990-91,1153
Maharashtra,1990-91,2019
Orissa,1990-91,861
Punjab,1990-91,880
Rajasthan,1990-91,1248
Tamil Nadu,1990-91,980
Uttar Pradesh,1990-91,2702
West Bengal,1990-91,900
Arunachal Pradesh,1990-91,140
Assam,1990-91,769
Himachal Pradesh,1990-91,217
Jammu and Kashmir,1990-91,772
Manipur,1990-91,146
Meghalaya,1990-91,95
Mizoram,1990-91,197
Nagaland,1990-91,130
Sikkim,1990-91,55
Tripura,1990-91,116
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,1306
Bihar,1991-92,1066
Chhattisgarh,1991-92,–
Goa,1991-92,135
Gujarat,1991-92,1670
Haryana,1991-92,453
Jharkhand,1991-92,–
Karnataka,1991-92,1294
Kerala,1991-92,789
Madhya Pradesh,1991-92,1217
Maharashtra,1991-92,2003
Orissa,1991-92,1005
Punjab,1991-92,816
Rajasthan,1991-92,1729
Tamil Nadu,1991-92,920
Uttar Pradesh,1991-92,2847
West Bengal,1991-92,867
Arunachal Pradesh,1991-92,156
Assam,1991-92,615
Himachal Pradesh,1991-92,1358
Jammu and Kashmir,1991-92,764
Manipur,1991-92,156
Meghalaya,1991-92,124
Mizoram,1991-92,93
Nagaland,1991-92,159
Sikkim,1991-92,73
Tripura,1991-92,129
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,1793
Bihar,1992-93,1174
Chhattisgarh,1992-93,–
Goa,1992-93,119
Gujarat,1992-93,1776
Haryana,1992-93,577
Jharkhand,1992-93,–
Karnataka,1992-93,1508
Kerala,1992-93,707
Madhya Pradesh,1992-93,1505
Maharashtra,1992-93,2467
Orissa,1992-93,866
Punjab,1992-93,785
Rajasthan,1992-93,1350
Tamil Nadu,1992-93,1206
Uttar Pradesh,1992-93,3445
West Bengal,1992-93,983
Arunachal Pradesh,1992-93,163
Assam,1992-93,685
Himachal Pradesh,1992-93,301
Jammu and Kashmir,1992-93,539
Manipur,1992-93,426
Meghalaya,1992-93,133
Mizoram,1992-93,116
Nagaland,1992-93,330
Sikkim,1992-93,70
Tripura,1992-93,107
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
Andhra Pradesh,1993-94,2523
Bihar,1993-94,1115
Chhattisgarh,1993-94,–
Goa,1993-94,128
Gujarat,1993-94,1474
Haryana,1993-94,708
Jharkhand,1993-94,–
Karnataka,1993-94,1881
Kerala,1993-94,845
Madhya Pradesh,1993-94,1360
Maharashtra,1993-94,2874
Orissa,1993-94,973
Punjab,1993-94,1177
Rajasthan,1993-94,1529
Tamil Nadu,1993-94,1304
Uttar Pradesh,1993-94,2995
West Bengal,1993-94,1067
Arunachal Pradesh,1993-94,176
Assam,1993-94,719
Himachal Pradesh,1993-94,339
Jammu and Kashmir,1993-94,825
Manipur,1993-94,200
Meghalaya,1993-94,199
Mizoram,1993-94,103
Nagaland,1993-94,252
Sikkim,1993-94,74
Tripura,1993-94,142
Uttarakhand,1993-94,–
NCT Delhi,1993-94,292
Puducherry,1993-94,–
Andhra Pradesh,1994-95,2945
Bihar,1994-95,823
Chhattisgarh,1994-95,–
Goa,1994-95,124
Gujarat,1994-95,1954
Haryana,1994-95,639
Jharkhand,1994-95,–
Karnataka,1994-95,1595
Kerala,1994-95,892
Madhya Pradesh,1994-95,1506
Maharashtra,1994-95,5214
Orissa,1994-95,947
Punjab,1994-95,1463
Rajasthan,1994-95,1675
Tamil Nadu,1994-95,1797
Uttar Pradesh,1994-95,5666
West Bengal,1994-95,1652
Arunachal Pradesh,1994-95,252
Assam,1994-95,727
Himachal Pradesh,1994-95,394
Jammu and Kashmir,1994-95,1015
Manipur,1994-95,167
Meghalaya,1994-95,130
Mizoram,1994-95,129
Nagaland,1994-95,184
Sikkim,1994-95,75
Tripura,1994-95,175
Uttarakhand,1994-95,–
NCT Delhi,1994-95,976
Puducherry,1994-95,–
Andhra Pradesh,1995-96,3687
Bihar,1995-96,961
Chhattisgarh,1995-96,–
Goa,1995-96,158
Gujarat,1995-96,2045
Haryana,1995-96,770
Jharkhand,1995-96,–
Karnataka,1995-96,1925
Kerala,1995-96,1096
Madhya Pradesh,1995-96,1451
Maharashtra,1995-96,4208
Orissa,1995-96,865
Punjab,1995-96,1369
Rajasthan,1995-96,2576
Tamil Nadu,1995-96,1621
Uttar Pradesh,1995-96,3231
West Bengal,1995-96,1883
Arunachal Pradesh,1995-96,296
Assam,1995-96,815
Himachal Pradesh,1995-96,446
Jammu and Kashmir,1995-96,1057
Manipur,1995-96,192
Meghalaya,1995-96,198
Mizoram,1995-96,150
Nagaland,1995-96,195
Sikkim,1995-96,111
Tripura,1995-96,203
Uttarakhand,1995-96,–
NCT Delhi,1995-96,1074
Puducherry,1995-96,–
Andhra Pradesh,1996-97,1872
Bihar,1996-97,1153
Chhattisgarh,1996-97,–
Goa,1996-97,157
Gujarat,1996-97,2317
Haryana,1996-97,1064
Jharkhand,1996-97,–
Karnataka,1996-97,1779
Kerala,1996-97,1154
Madhya Pradesh,1996-97,1631
Maharashtra,1996-97,4159
Orissa,1996-97,1193
