State,Year,Value
Andhra Pradesh,1980-81,222
Bihar,1980-81,336
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,247
Haryana,1980-81,112
Jharkhand,1980-81,–
Karnataka,1980-81,226
Kerala,1980-81,180
Madhya Pradesh,1980-81,337
Maharashtra,1980-81,463
Orissa,1980-81,134
Punjab,1980-81,160
Rajasthan,1980-81,207
Tamil Nadu,1980-81,210
Uttar Pradesh,1980-81,551
West Bengal,1980-81,289
Arunachal Pradesh,1980-81,–
Assam,1980-81,-27
Himachal Pradesh,1980-81,-35
Jammu and Kashmir,1980-81,145
Manipur,1980-81,-7
Meghalaya,1980-81,-8
Mizoram,1980-81,–
Nagaland,1980-81,-26
Sikkim,1980-81,6
Tripura,1980-81,-9
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,244
Bihar,1981-82,409
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,254
Haryana,1981-82,102
Jharkhand,1981-82,–
Karnataka,1981-82,118
Kerala,1981-82,62
Madhya Pradesh,1981-82,238
Maharashtra,1981-82,489
Orissa,1981-82,142
Punjab,1981-82,178
Rajasthan,1981-82,327
Tamil Nadu,1981-82,213
Uttar Pradesh,1981-82,452
West Bengal,1981-82,380
Arunachal Pradesh,1981-82,–
Assam,1981-82,172
Himachal Pradesh,1981-82,57
Jammu and Kashmir,1981-82,136
Manipur,1981-82,27
Meghalaya,1981-82,17
Mizoram,1981-82,–
Nagaland,1981-82,20
Sikkim,1981-82,5
Tripura,1981-82,25
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,172
Bihar,1982-83,435
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,377
Haryana,1982-83,189
Jharkhand,1982-83,–
Karnataka,1982-83,280
Kerala,1982-83,123
Madhya Pradesh,1982-83,291
Maharashtra,1982-83,552
Orissa,1982-83,212
Punjab,1982-83,183
Rajasthan,1982-83,275
Tamil Nadu,1982-83,326
Uttar Pradesh,1982-83,582
West Bengal,1982-83,498
Arunachal Pradesh,1982-83,–
Assam,1982-83,200
Himachal Pradesh,1982-83,74
Jammu and Kashmir,1982-83,142
Manipur,1982-83,17
Meghalaya,1982-83,15
Mizoram,1982-83,–
Nagaland,1982-83,30
Sikkim,1982-83,-2
Tripura,1982-83,17
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,493
Bihar,1983-84,328
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,398
Haryana,1983-84,134
Jharkhand,1983-84,–
Karnataka,1983-84,288
Kerala,1983-84,299
Madhya Pradesh,1983-84,366
Maharashtra,1983-84,740
Orissa,1983-84,192
Punjab,1983-84,262
Rajasthan,1983-84,298
Tamil Nadu,1983-84,364
Uttar Pradesh,1983-84,1082
West Bengal,1983-84,414
Arunachal Pradesh,1983-84,–
Assam,1983-84,327
Himachal Pradesh,1983-84,58
Jammu and Kashmir,1983-84,198
Manipur,1983-84,26
Meghalaya,1983-84,10
Mizoram,1983-84,–
Nagaland,1983-84,41
Sikkim,1983-84,7
Tripura,1983-84,35
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,591
Bihar,1984-85,396
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,520
Haryana,1984-85,235
Jharkhand,1984-85,–
Karnataka,1984-85,563
Kerala,1984-85,232
Madhya Pradesh,1984-85,494
Maharashtra,1984-85,1051
Orissa,1984-85,328
Punjab,1984-85,479
Rajasthan,1984-85,363
Tamil Nadu,1984-85,398
Uttar Pradesh,1984-85,1494
West Bengal,1984-85,340
Arunachal Pradesh,1984-85,–
Assam,1984-85,367
Himachal Pradesh,1984-85,80
Jammu and Kashmir,1984-85,248
Manipur,1984-85,15
Meghalaya,1984-85,2
Mizoram,1984-85,–
Nagaland,1984-85,-5
Sikkim,1984-85,-3
Tripura,1984-85,12
Uttarakhand,1984-85,–
NCT Delhi,1984-85,–
Puducherry,1984-85,–
Andhra Pradesh,1985-86,435
Bihar,1985-86,326
Chhattisgarh,1985-86,–
Goa,1985-86,–
Gujarat,1985-86,514
Haryana,1985-86,230
Jharkhand,1985-86,–
Karnataka,1985-86,550
Kerala,1985-86,323
Madhya Pradesh,1985-86,516
Maharashtra,1985-86,1234
Orissa,1985-86,326
Punjab,1985-86,566
Rajasthan,1985-86,343
Tamil Nadu,1985-86,365
Uttar Pradesh,1985-86,1058
West Bengal,1985-86,259
Arunachal Pradesh,1985-86,–
Assam,1985-86,154
Himachal Pradesh,1985-86,35
Jammu and Kashmir,1985-86,247
Manipur,1985-86,-9
Meghalaya,1985-86,-8
Mizoram,1985-86,41
Nagaland,1985-86,-12
Sikkim,1985-86,12
Tripura,1985-86,15
Uttarakhand,1985-86,–
NCT Delhi,1985-86,–
Puducherry,1985-86,–
Andhra Pradesh,1986-87,804
Bihar,1986-87,461
Chhattisgarh,1986-87,–
Goa,1986-87,61
Gujarat,1986-87,900
Haryana,1986-87,170
Jharkhand,1986-87,–
Karnataka,1986-87,514
Kerala,1986-87,440
Madhya Pradesh,1986-87,561
Maharashtra,1986-87,1065
Orissa,1986-87,372
Punjab,1986-87,343
Rajasthan,1986-87,467
Tamil Nadu,1986-87,454
Uttar Pradesh,1986-87,1410
West Bengal,1986-87,587
Arunachal Pradesh,1986-87,23
Assam,1986-87,243
Himachal Pradesh,1986-87,89
Jammu and Kashmir,1986-87,244
Manipur,1986-87,32
Meghalaya,1986-87,5
Mizoram,1986-87,-22
Nagaland,1986-87,30
Sikkim,1986-87,1
Tripura,1986-87,15
Uttarakhand,1986-87,–
NCT Delhi,1986-87,–
Puducherry,1986-87,–
Andhra Pradesh,1987-88,568
Bihar,1987-88,825
Chhattisgarh,1987-88,–
Goa,1987-88,72
Gujarat,1987-88,976
Haryana,1987-88,216
Jharkhand,1987-88,–
Karnataka,1987-88,518
Kerala,1987-88,448
Madhya Pradesh,1987-88,725
Maharashtra,1987-88,1014
Orissa,1987-88,506
Punjab,1987-88,968
Rajasthan,1987-88,903
Tamil Nadu,1987-88,660
Uttar Pradesh,1987-88,1014
West Bengal,1987-88,551
Arunachal Pradesh,1987-88,38
Assam,1987-88,421
Himachal Pradesh,1987-88,129
Jammu and Kashmir,1987-88,417
Manipur,1987-88,17
Meghalaya,1987-88,2
Mizoram,1987-88,102
Nagaland,1987-88,60
Sikkim,1987-88,9
Tripura,1987-88,62
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,673
Bihar,1988-89,535
Chhattisgarh,1988-89,–
Goa,1988-89,64
Gujarat,1988-89,735
Haryana,1988-89,289
Jharkhand,1988-89,–
Karnataka,1988-89,497
Kerala,1988-89,412
Madhya Pradesh,1988-89,871
Maharashtra,1988-89,1277
Orissa,1988-89,550
Punjab,1988-89,833
Rajasthan,1988-89,736
Tamil Nadu,1988-89,654
Uttar Pradesh,1988-89,1802
West Bengal,1988-89,579
Arunachal Pradesh,1988-89,1
Assam,1988-89,303
Himachal Pradesh,1988-89,254
Jammu and Kashmir,1988-89,410
Manipur,1988-89,33
Meghalaya,1988-89,10
Mizoram,1988-89,11
Nagaland,1988-89,48
Sikkim,1988-89,11
Tripura,1988-89,84
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,972
Bihar,1989-90,994
Chhattisgarh,1989-90,–
Goa,1989-90,95
Gujarat,1989-90,952
Haryana,1989-90,393
Jharkhand,1989-90,–
Karnataka,1989-90,625
Kerala,1989-90,604
Madhya Pradesh,1989-90,723
Maharashtra,1989-90,1844
Orissa,1989-90,574
Punjab,1989-90,909
Rajasthan,1989-90,581
Tamil Nadu,1989-90,919
Uttar Pradesh,1989-90,2482
West Bengal,1989-90,1055
Arunachal Pradesh,1989-90,75
Assam,1989-90,528
Himachal Pradesh,1989-90,226
Jammu and Kashmir,1989-90,524
Manipur,1989-90,71
Meghalaya,1989-90,31
Mizoram,1989-90,-3
Nagaland,1989-90,141
Sikkim,1989-90,30
Tripura,1989-90,89
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,967
Bihar,1990-91,1595
Chhattisgarh,1990-91,–
Goa,1990-91,96
Gujarat,1990-91,1798
Haryana,1990-91,386
Jharkhand,1990-91,–
Karnataka,1990-91,559
Kerala,1990-91,799
Madhya Pradesh,1990-91,1019
Maharashtra,1990-91,1611
Orissa,1990-91,616
Punjab,1990-91,1242
Rajasthan,1990-91,545
Tamil Nadu,1990-91,1126
Uttar Pradesh,1990-91,3068
West Bengal,1990-91,1634
Arunachal Pradesh,1990-91,26
Assam,1990-91,568
Himachal Pradesh,1990-91,279
Jammu and Kashmir,1990-91,661
Manipur,1990-91,40
Meghalaya,1990-91,41
Mizoram,1990-91,-94
Nagaland,1990-91,102
Sikkim,1990-91,20
Tripura,1990-91,86
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,1125
Bihar,1991-92,1617
Chhattisgarh,1991-92,–
Goa,1991-92,125
Gujarat,1991-92,1876
Haryana,1991-92,375
Jharkhand,1991-92,–
Karnataka,1991-92,918
Kerala,1991-92,803
Madhya Pradesh,1991-92,984
Maharashtra,1991-92,1657
Orissa,1991-92,913
Punjab,1991-92,1151
Rajasthan,1991-92,792
Tamil Nadu,1991-92,1300
Uttar Pradesh,1991-92,2837
West Bengal,1991-92,1144
Arunachal Pradesh,1991-92,-20
Assam,1991-92,255
Himachal Pradesh,1991-92,224
Jammu and Kashmir,1991-92,449
Manipur,1991-92,69
Meghalaya,1991-92,72
Mizoram,1991-92,5
Nagaland,1991-92,96
Sikkim,1991-92,41
Tripura,1991-92,94
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,1569
Bihar,1992-93,1331
Chhattisgarh,1992-93,–
Goa,1992-93,90
Gujarat,1992-93,1174
Haryana,1992-93,444
Jharkhand,1992-93,–
Karnataka,1992-93,1386
Kerala,1992-93,732
Madhya Pradesh,1992-93,876
Maharashtra,1992-93,2586
Orissa,1992-93,740
Punjab,1992-93,1252
Rajasthan,1992-93,1159
Tamil Nadu,1992-93,1749
Uttar Pradesh,1992-93,3711
West Bengal,1992-93,1013
Arunachal Pradesh,1992-93,-9
Assam,1992-93,208
Himachal Pradesh,1992-93,312
Jammu and Kashmir,1992-93,204
Manipur,1992-93,18
Meghalaya,1992-93,93
Mizoram,1992-93,60
Nagaland,1992-93,138
Sikkim,1992-93,34
Tripura,1992-93,23
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
Andhra Pradesh,1993-94,1833
Bihar,1993-94,1339
Chhattisgarh,1993-94,–
Goa,1993-94,60
Gujarat,1993-94,526
Haryana,1993-94,480
Jharkhand,1993-94,–
Karnataka,1993-94,1254
Kerala,1993-94,935
Madhya Pradesh,1993-94,983
Maharashtra,1993-94,2265
Orissa,1993-94,902
Punjab,1993-94,1493
Rajasthan,1993-94,1470
Tamil Nadu,1993-94,1358
Uttar Pradesh,1993-94,3166
West Bengal,1993-94,1672
Arunachal Pradesh,1993-94,16
Assam,1993-94,-18
Himachal Pradesh,1993-94,152
Jammu and Kashmir,1993-94,88
Manipur,1993-94,-20
Meghalaya,1993-94,88
Mizoram,1993-94,8
Nagaland,1993-94,174
Sikkim,1993-94,31
Tripura,1993-94,111
Uttarakhand,1993-94,–
NCT Delhi,1993-94,232
Puducherry,1993-94,–
Andhra Pradesh,1994-95,2349
Bihar,1994-95,1342
Chhattisgarh,1994-95,–
Goa,1994-95,45
Gujarat,1994-95,1292
Haryana,1994-95,535
Jharkhand,1994-95,–
Karnataka,1994-95,1513
Kerala,1994-95,1109
Madhya Pradesh,1994-95,1417
Maharashtra,1994-95,2861
Orissa,1994-95,1159
Punjab,1994-95,1785
Rajasthan,1994-95,1763
Tamil Nadu,1994-95,1496
Uttar Pradesh,1994-95,4767
West Bengal,1994-95,1965
Arunachal Pradesh,1994-95,73
Assam,1994-95,711
Himachal Pradesh,1994-95,620
Jammu and Kashmir,1994-95,-23
Manipur,1994-95,62
Meghalaya,1994-95,35
Mizoram,1994-95,38
Nagaland,1994-95,239
Sikkim,1994-95,46
Tripura,1994-95,110
Uttarakhand,1994-95,–
NCT Delhi,1994-95,389
Puducherry,1994-95,–
Andhra Pradesh,1995-96,2417
Bihar,1995-96,1571
Chhattisgarh,1995-96,–
Goa,1995-96,97
Gujarat,1995-96,1746
Haryana,1995-96,986
Jharkhand,1995-96,–
Karnataka,1995-96,1457
Kerala,1995-96,1303
Madhya Pradesh,1995-96,1633
Maharashtra,1995-96,4151
Orissa,1995-96,1396
Punjab,1995-96,1365
Rajasthan,1995-96,2574
Tamil Nadu,1995-96,1256
Uttar Pradesh,1995-96,4381
West Bengal,1995-96,2696
Arunachal Pradesh,1995-96,40
Assam,1995-96,652
Himachal Pradesh,1995-96,521
Jammu and Kashmir,1995-96,97
Manipur,1995-96,105
Meghalaya,1995-96,52
Mizoram,1995-96,71
Nagaland,1995-96,231
Sikkim,1995-96,40
Tripura,1995-96,34
Uttarakhand,1995-96,–
NCT Delhi,1995-96,556
Puducherry,1995-96,–
Andhra Pradesh,1996-97,2812
Bihar,1996-97,891
Chhattisgarh,1996-97,–
Goa,1996-97,104
Gujarat,1996-97,2358
Haryana,1996-97,1099
Jharkhand,1996-97,–
Karnataka,1996-97,1944
Kerala,1996-97,1543
Madhya Pradesh,1996-97,1926
Maharashtra,1996-97,4954
Orissa,1996-97,1602
Punjab,1996-97,1465
Rajasthan,1996-97,2507
Tamil Nadu,1996-97,2445
Uttar Pradesh,1996-97,5956
West Bengal,1996-97,3397
Arunachal Pradesh,1996-97,70
Assam,1996-97,74
Himachal Pradesh,1996-97,572
Jammu and Kashmir,1996-97,166
Manipur,1996-97,168
Meghalaya,1996-97,23
Mizoram,1996-97,125
Nagaland,1996-97,184
Sikkim,1996-97,56
Tripura,1996-97,122
Uttarakhand,1996-97,–
NCT Delhi,1996-97,690
Puducherry,1996-97,–
Andhra Pradesh,1997-98,2428
Bihar,1997-98,981
Chhattisgarh,1997-98,–
Goa,1997-98,125
Gujarat,1997-98,3175
Haryana,1997-98,1128
Jharkhand,1997-98,–
Karnataka,1997-98,1610
Kerala,1997-98,2414
Madhya Pradesh,1997-98,1821
Maharashtra,1997-98,6442
Orissa,1997-98,1803
Punjab,1997-98,2478
Rajasthan,1997-98,2552
Tamil Nadu,1997-98,2122
Uttar Pradesh,1997-98,7576
West Bengal,1997-98,4008
Arunachal Pradesh,1997-98,121
Assam,1997-98,142
Himachal Pradesh,1997-98,1202
Jammu and Kashmir,1997-98,444
Manipur,1997-98,188
Meghalaya,1997-98,127
Mizoram,1997-98,124
Nagaland,1997-98,204
Sikkim,1997-98,67
Tripura,1997-98,196
Uttarakhand,1997-98,–
NCT Delhi,1997-98,726
Puducherry,1997-98,–
Andhra Pradesh,1998-99,5706
Bihar,1998-99,2379
Chhattisgarh,1998-99,–
Goa,1998-99,269
Gujarat,1998-99,5619
Haryana,1998-99,2240
Jharkhand,1998-99,–
Karnataka,1998-99,3112
Kerala,1998-99,3012
Madhya Pradesh,1998-99,4127
Maharashtra,1998-99,7462
Orissa,1998-99,2916
Punjab,1998-99,3779
Rajasthan,1998-99,5151
Tamil Nadu,1998-99,4777
Uttar Pradesh,1998-99,11633
West Bengal,1998-99,7109
Arunachal Pradesh,1998-99,55
Assam,1998-99,338
Himachal Pradesh,1998-99,1662
Jammu and Kashmir,1998-99,1054
Manipur,1998-99,106
Meghalaya,1998-99,147
Mizoram,1998-99,132
Nagaland,1998-99,243
Sikkim,1998-99,147
Tripura,1998-99,118
Uttarakhand,1998-99,–
NCT Delhi,1998-99,959
Puducherry,1998-99,–
Andhra Pradesh,1999-00,4976
Bihar,1999-00,6108
Chhattisgarh,1999-00,–
Goa,1999-00,341
Gujarat,1999-00,6792
Haryana,1999-00,2133
Jharkhand,1999-00,–
Karnataka,1999-00,4277
Kerala,1999-00,4537
Madhya Pradesh,1999-00,3911
Maharashtra,1999-00,11706
Orissa,1999-00,3746
Punjab,1999-00,3195
Rajasthan,1999-00,5361
Tamil Nadu,1999-00,5382
Uttar Pradesh,1999-00,11099
West Bengal,1999-00,11666
Arunachal Pradesh,1999-00,59
Assam,1999-00,1606
Himachal Pradesh,1999-00,190
Jammu and Kashmir,1999-00,1339
Manipur,1999-00,656
Meghalaya,1999-00,209
Mizoram,1999-00,179
Nagaland,1999-00,249
Sikkim,1999-00,93
Tripura,1999-00,290
Uttarakhand,1999-00,–
NCT Delhi,1999-00,1382
Puducherry,1999-00,–
Andhra Pradesh,2000-01,7306
Bihar,2000-01,4884
Chhattisgarh,2000-01,-48
Goa,2000-01,413
Gujarat,2000-01,7988
Haryana,2000-01,2265
Jharkhand,2000-01,–
Karnataka,2000-01,4219
Kerala,2000-01,3878
Madhya Pradesh,2000-01,2712
Maharashtra,2000-01,8976
Orissa,2000-01,3325
Punjab,2000-01,3904
Rajasthan,2000-01,4313
Tamil Nadu,2000-01,5076
Uttar Pradesh,2000-01,10180
West Bengal,2000-01,10920
Arunachal Pradesh,2000-01,210
Assam,2000-01,1540
Himachal Pradesh,2000-01,1845
Jammu and Kashmir,2000-01,2166
Manipur,2000-01,234
Meghalaya,2000-01,250
Mizoram,2000-01,375
Nagaland,2000-01,359
Sikkim,2000-01,51
Tripura,2000-01,445
Uttarakhand,2000-01,136
NCT Delhi,2000-01,1610
Puducherry,2000-01,–
Andhra Pradesh,2001-02,6723
Bihar,2001-02,4010
Chhattisgarh,2001-02,1061
Goa,2001-02,413
Gujarat,2001-02,6511
Haryana,2001-02,2740
Jharkhand,2001-02,1643
Karnataka,2001-02,5870
Kerala,2001-02,3269
Madhya Pradesh,2001-02,3649
Maharashtra,2001-02,10898
Orissa,2001-02,3964
Punjab,2001-02,4958
Rajasthan,2001-02,5748
Tamil Nadu,2001-02,4739
Uttar Pradesh,2001-02,9898
West Bengal,2001-02,11804
Arunachal Pradesh,2001-02,275
Assam,2001-02,1448
Himachal Pradesh,2001-02,1511
Jammu and Kashmir,2001-02,748
Manipur,2001-02,340
Meghalaya,2001-02,221
Mizoram,2001-02,422
Nagaland,2001-02,366
Sikkim,2001-02,67
Tripura,2001-02,538
Uttarakhand,2001-02,424
NCT Delhi,2001-02,1733
Puducherry,2001-02,–
Andhra Pradesh,2002-03,7625
Bihar,2002-03,4911
Chhattisgarh,2002-03,973
Goa,2002-03,379
Gujarat,2002-03,6080
Haryana,2002-03,1471
Jharkhand,2002-03,2187
Karnataka,2002-03,5281
Kerala,2002-03,4994
Madhya Pradesh,2002-03,4062
Maharashtra,2002-03,14290
Orissa,2002-03,2816
Punjab,2002-03,4401
Rajasthan,2002-03,6114
Tamil Nadu,2002-03,6742
Uttar Pradesh,2002-03,9497
West Bengal,2002-03,10569
Arunachal Pradesh,2002-03,214
Assam,2002-03,928
Himachal Pradesh,2002-03,2342
Jammu and Kashmir,2002-03,1245
Manipur,2002-03,249
Meghalaya,2002-03,161
Mizoram,2002-03,315
Nagaland,2002-03,443
Sikkim,2002-03,10
Tripura,2002-03,537
Uttarakhand,2002-03,889
NCT Delhi,2002-03,2396
Puducherry,2002-03,–
