State,Year,Value
Andhra Pradesh,1980-81,582
Bihar,1980-81,277
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,531
Haryana,1980-81,234
Jharkhand,1980-81,–
Karnataka,1980-81,475
Kerala,1980-81,337
Madhya Pradesh,1980-81,386
Maharashtra,1980-81,1130
Orissa,1980-81,132
Punjab,1980-81,349
Rajasthan,1980-81,230
Tamil Nadu,1980-81,639
Uttar Pradesh,1980-81,645
West Bengal,1980-81,514
Arunachal Pradesh,1980-81,–
Assam,1980-81,66
Himachal Pradesh,1980-81,34
Jammu and Kashmir,1980-81,38
Manipur,1980-81,3
Meghalaya,1980-81,5
Mizoram,1980-81,–
Nagaland,1980-81,4
Sikkim,1980-81,3
Tripura,1980-81,4
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,703
Bihar,1981-82,338
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,661
Haryana,1981-82,291
Jharkhand,1981-82,–
Karnataka,1981-82,607
Kerala,1981-82,374
Madhya Pradesh,1981-82,476
Maharashtra,1981-82,1384
Orissa,1981-82,160
Punjab,1981-82,432
Rajasthan,1981-82,312
Tamil Nadu,1981-82,842
Uttar Pradesh,1981-82,823
West Bengal,1981-82,616
Arunachal Pradesh,1981-82,–
Assam,1981-82,90
Himachal Pradesh,1981-82,42
Jammu and Kashmir,1981-82,60
Manipur,1981-82,4
Meghalaya,1981-82,6
Mizoram,1981-82,–
Nagaland,1981-82,6
Sikkim,1981-82,3
Tripura,1981-82,5
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,808
Bihar,1982-83,382
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,763
Haryana,1982-83,337
Jharkhand,1982-83,–
Karnataka,1982-83,674
Kerala,1982-83,438
Madhya Pradesh,1982-83,558
Maharashtra,1982-83,1648
Orissa,1982-83,174
Punjab,1982-83,491
Rajasthan,1982-83,390
Tamil Nadu,1982-83,1012
Uttar Pradesh,1982-83,929
West Bengal,1982-83,638
Arunachal Pradesh,1982-83,–
Assam,1982-83,108
Himachal Pradesh,1982-83,48
Jammu and Kashmir,1982-83,62
Manipur,1982-83,4
Meghalaya,1982-83,7
Mizoram,1982-83,–
Nagaland,1982-83,7
Sikkim,1982-83,3
Tripura,1982-83,6
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,965
Bihar,1983-84,442
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,879
Haryana,1983-84,366
Jharkhand,1983-84,–
Karnataka,1983-84,760
Kerala,1983-84,487
Madhya Pradesh,1983-84,643
Maharashtra,1983-84,1823
Orissa,1983-84,201
Punjab,1983-84,544
Rajasthan,1983-84,441
Tamil Nadu,1983-84,1145
Uttar Pradesh,1983-84,992
West Bengal,1983-84,769
Arunachal Pradesh,1983-84,–
Assam,1983-84,136
Himachal Pradesh,1983-84,54
Jammu and Kashmir,1983-84,71
Manipur,1983-84,5
Meghalaya,1983-84,10
Mizoram,1983-84,–
Nagaland,1983-84,10
Sikkim,1983-84,4
Tripura,1983-84,8
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,1174
Bihar,1984-85,464
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,980
Haryana,1984-85,406
Jharkhand,1984-85,–
Karnataka,1984-85,909
Kerala,1984-85,622
Madhya Pradesh,1984-85,713
Maharashtra,1984-85,1966
Orissa,1984-85,228
Punjab,1984-85,567
Rajasthan,1984-85,487
Tamil Nadu,1984-85,1298
Uttar Pradesh,1984-85,1140
West Bengal,1984-85,937
Arunachal Pradesh,1984-85,–
