State,Year,Value
Andhra Pradesh,1980-81,-104
Bihar,1980-81,-59
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,-122
Haryana,1980-81,-59
Jharkhand,1980-81,–
Karnataka,1980-81,-59
Kerala,1980-81,28
Madhya Pradesh,1980-81,-118
Maharashtra,1980-81,-121
Orissa,1980-81,-81
Punjab,1980-81,-18
Rajasthan,1980-81,-65
Tamil Nadu,1980-81,-128
Uttar Pradesh,1980-81,-183
West Bengal,1980-81,23
Arunachal Pradesh,1980-81,–
Assam,1980-81,-165
Himachal Pradesh,1980-81,-104
Jammu and Kashmir,1980-81,15
Manipur,1980-81,-41
Meghalaya,1980-81,-30
Mizoram,1980-81,–
Nagaland,1980-81,-52
Sikkim,1980-81,-7
Tripura,1980-81,-36
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,-80
Bihar,1981-82,7
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,-120
Haryana,1981-82,-51
Jharkhand,1981-82,–
Karnataka,1981-82,-164
Kerala,1981-82,-96
Madhya Pradesh,1981-82,-229
Maharashtra,1981-82,-147
Orissa,1981-82,-28
Punjab,1981-82,-63
Rajasthan,1981-82,-34
Tamil Nadu,1981-82,-82
Uttar Pradesh,1981-82,-353
West Bengal,1981-82,88
Arunachal Pradesh,1981-82,–
Assam,1981-82,37
Himachal Pradesh,1981-82,-22
Jammu and Kashmir,1981-82,-2
Manipur,1981-82,-10
Meghalaya,1981-82,-8
Mizoram,1981-82,–
Nagaland,1981-82,-8
Sikkim,1981-82,-8
Tripura,1981-82,-6
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,-133
Bihar,1982-83,38
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,-66
Haryana,1982-83,-45
Jharkhand,1982-83,–
Karnataka,1982-83,-42
Kerala,1982-83,-27
Madhya Pradesh,1982-83,-188
Maharashtra,1982-83,-210
Orissa,1982-83,23
Punjab,1982-83,-103
Rajasthan,1982-83,-55
Tamil Nadu,1982-83,-102
Uttar Pradesh,1982-83,-192
West Bengal,1982-83,242
Arunachal Pradesh,1982-83,–
Assam,1982-83,44
Himachal Pradesh,1982-83,-9
Jammu and Kashmir,1982-83,1
Manipur,1982-83,-20
Meghalaya,1982-83,-12
Mizoram,1982-83,–
Nagaland,1982-83,-6
Sikkim,1982-83,-13
Tripura,1982-83,-15
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,89
Bihar,1983-84,-72
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,-139
Haryana,1983-84,-76
Jharkhand,1983-84,–
Karnataka,1983-84,-73
Kerala,1983-84,58
Madhya Pradesh,1983-84,-176
Maharashtra,1983-84,-71
Orissa,1983-84,–
Punjab,1983-84,-59
Rajasthan,1983-84,-45
Tamil Nadu,1983-84,-52
Uttar Pradesh,1983-84,106
West Bengal,1983-84,206
Arunachal Pradesh,1983-84,–
Assam,1983-84,137
Himachal Pradesh,1983-84,-33
Jammu and Kashmir,1983-84,47
Manipur,1983-84,-24
Meghalaya,1983-84,-25
Mizoram,1983-84,–
Nagaland,1983-84,3
Sikkim,1983-84,-7
Tripura,1983-84,-5
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,169
Bihar,1984-85,-107
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,-68
Haryana,1984-85,-30
Jharkhand,1984-85,–
Karnataka,1984-85,144
Kerala,1984-85,14
Madhya Pradesh,1984-85,-79
Maharashtra,1984-85,212
Orissa,1984-85,74
Punjab,1984-85,9
Rajasthan,1984-85,76
Tamil Nadu,1984-85,-17
Uttar Pradesh,1984-85,147
West Bengal,1984-85,372
Arunachal Pradesh,1984-85,–
Assam,1984-85,136
Himachal Pradesh,1984-85,-38
Jammu and Kashmir,1984-85,71
Manipur,1984-85,-38
Meghalaya,1984-85,-31
Mizoram,1984-85,–
Nagaland,1984-85,-38
Sikkim,1984-85,-19
Tripura,1984-85,-37
Uttarakhand,1984-85,–
NCT Delhi,1984-85,–
Puducherry,1984-85,–
Andhra Pradesh,1985-86,7
Bihar,1985-86,-298
Chhattisgarh,1985-86,–
Goa,1985-86,–
Gujarat,1985-86,70
Haryana,1985-86,-106
Jharkhand,1985-86,–
Karnataka,1985-86,85
Kerala,1985-86,74
Madhya Pradesh,1985-86,-70
Maharashtra,1985-86,317
Orissa,1985-86,60
Punjab,1985-86,-7
Rajasthan,1985-86,2
Tamil Nadu,1985-86,-189
Uttar Pradesh,1985-86,-175
West Bengal,1985-86,-83
Arunachal Pradesh,1985-86,–
Assam,1985-86,6
Himachal Pradesh,1985-86,-108
Jammu and Kashmir,1985-86,-7
Manipur,1985-86,-70
