State,Year,Value
Andhra Pradesh,1980-81,1161
Bihar,1980-81,929
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,903
Haryana,1980-81,401
Jharkhand,1980-81,–
Karnataka,1980-81,895
Kerala,1980-81,668
Madhya Pradesh,1980-81,1016
Maharashtra,1980-81,1917
Orissa,1980-81,541
Punjab,1980-81,550
Rajasthan,1980-81,688
Tamil Nadu,1980-81,1152
Uttar Pradesh,1980-81,1716
West Bengal,1980-81,1115
Arunachal Pradesh,1980-81,–
Assam,1980-81,357
Himachal Pradesh,1980-81,188
Jammu and Kashmir,1980-81,273
Manipur,1980-81,71
Meghalaya,1980-81,60
Mizoram,1980-81,–
Nagaland,1980-81,92
Sikkim,1980-81,30
Tripura,1980-81,87
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,1386
Bihar,1981-82,1167
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,1039
Haryana,1981-82,486
Jharkhand,1981-82,–
Karnataka,1981-82,1002
Kerala,1981-82,755
Madhya Pradesh,1981-82,1115
Maharashtra,1981-82,2238
Orissa,1981-82,574
Punjab,1981-82,620
Rajasthan,1981-82,823
Tamil Nadu,1981-82,1360
Uttar Pradesh,1981-82,1906
West Bengal,1981-82,1312
Arunachal Pradesh,1981-82,–
Assam,1981-82,402
Himachal Pradesh,1981-82,212
Jammu and Kashmir,1981-82,296
Manipur,1981-82,85
Meghalaya,1981-82,74
Mizoram,1981-82,–
Nagaland,1981-82,101
Sikkim,1981-82,32
Tripura,1981-82,91
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,1507
Bihar,1982-83,1357
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,1283
Haryana,1982-83,567
Jharkhand,1982-83,–
Karnataka,1982-83,1239
Kerala,1982-83,783
Madhya Pradesh,1982-83,1328
Maharashtra,1982-83,2628
Orissa,1982-83,825
Punjab,1982-83,684
Rajasthan,1982-83,955
Tamil Nadu,1982-83,1576
Uttar Pradesh,1982-83,2364
West Bengal,1982-83,1622
Arunachal Pradesh,1982-83,–
Assam,1982-83,483
Himachal Pradesh,1982-83,263
Jammu and Kashmir,1982-83,326
Manipur,1982-83,92
Meghalaya,1982-83,85
Mizoram,1982-83,–
Nagaland,1982-83,128
Sikkim,1982-83,36
Tripura,1982-83,109
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,2042
Bihar,1983-84,1432
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,1426
Haryana,1983-84,623
Jharkhand,1983-84,–
Karnataka,1983-84,1417
Kerala,1983-84,992
Madhya Pradesh,1983-84,1624
Maharashtra,1983-84,3181
Orissa,1983-84,783
Punjab,1983-84,820
Rajasthan,1983-84,1099
Tamil Nadu,1983-84,1911
Uttar Pradesh,1983-84,2761
West Bengal,1983-84,1739
Arunachal Pradesh,1983-84,–
Assam,1983-84,688
Himachal Pradesh,1983-84,284
Jammu and Kashmir,1983-84,422
Manipur,1983-84,105
Meghalaya,1983-84,100
Mizoram,1983-84,–
Nagaland,1983-84,165
Sikkim,1983-84,49
Tripura,1983-84,140
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,2463
Bihar,1984-85,1687
