State,Year,Value
Andhra Pradesh,1980-81,532
Bihar,1980-81,452
Chhattisgarh,1980-81,–
Goa,1980-81,–
Gujarat,1980-81,406
Haryana,1980-81,137
Jharkhand,1980-81,–
Karnataka,1980-81,348
Kerala,1980-81,391
Madhya Pradesh,1980-81,397
Maharashtra,1980-81,754
Orissa,1980-81,274
Punjab,1980-81,252
Rajasthan,1980-81,323
Tamil Nadu,1980-81,506
Uttar Pradesh,1980-81,821
West Bengal,1980-81,592
Arunachal Pradesh,1980-81,–
Assam,1980-81,171
Himachal Pradesh,1980-81,106
Jammu and Kashmir,1980-81,125
Manipur,1980-81,41
Meghalaya,1980-81,30
Mizoram,1980-81,–
Nagaland,1980-81,38
Sikkim,1980-81,9
Tripura,1980-81,49
Uttarakhand,1980-81,–
NCT Delhi,1980-81,–
Puducherry,1980-81,–
Andhra Pradesh,1981-82,613
Bihar,1981-82,598
Chhattisgarh,1981-82,–
Goa,1981-82,–
Gujarat,1981-82,472
Haryana,1981-82,173
Jharkhand,1981-82,–
Karnataka,1981-82,400
Kerala,1981-82,424
Madhya Pradesh,1981-82,456
Maharashtra,1981-82,847
Orissa,1981-82,258
Punjab,1981-82,280
Rajasthan,1981-82,425
Tamil Nadu,1981-82,605
Uttar Pradesh,1981-82,824
West Bengal,1981-82,691
Arunachal Pradesh,1981-82,–
Assam,1981-82,176
Himachal Pradesh,1981-82,113
Jammu and Kashmir,1981-82,134
Manipur,1981-82,44
Meghalaya,1981-82,35
Mizoram,1981-82,–
Nagaland,1981-82,40
Sikkim,1981-82,11
Tripura,1981-82,40
Uttarakhand,1981-82,–
NCT Delhi,1981-82,–
Puducherry,1981-82,–
Andhra Pradesh,1982-83,697
Bihar,1982-83,673
Chhattisgarh,1982-83,–
Goa,1982-83,–
Gujarat,1982-83,643
Haryana,1982-83,235
Jharkhand,1982-83,–
Karnataka,1982-83,485
Kerala,1982-83,441
Madhya Pradesh,1982-83,547
Maharashtra,1982-83,1031
Orissa,1982-83,470
Punjab,1982-83,292
Rajasthan,1982-83,498
Tamil Nadu,1982-83,798
Uttar Pradesh,1982-83,1015
West Bengal,1982-83,843
Arunachal Pradesh,1982-83,–
Assam,1982-83,215
Himachal Pradesh,1982-83,128
Jammu and Kashmir,1982-83,149
Manipur,1982-83,47
Meghalaya,1982-83,40
Mizoram,1982-83,–
Nagaland,1982-83,48
Sikkim,1982-83,11
Tripura,1982-83,47
Uttarakhand,1982-83,–
NCT Delhi,1982-83,–
Puducherry,1982-83,–
Andhra Pradesh,1983-84,1073
Bihar,1983-84,677
Chhattisgarh,1983-84,–
Goa,1983-84,–
Gujarat,1983-84,669
Haryana,1983-84,242
Jharkhand,1983-84,–
Karnataka,1983-84,525
Kerala,1983-84,557
Madhya Pradesh,1983-84,677
Maharashtra,1983-84,1282
Orissa,1983-84,357
Punjab,1983-84,354
Rajasthan,1983-84,544
Tamil Nadu,1983-84,931
Uttar Pradesh,1983-84,1131
West Bengal,1983-84,856
Arunachal Pradesh,1983-84,–
Assam,1983-84,339
Himachal Pradesh,1983-84,139
Jammu and Kashmir,1983-84,179
Manipur,1983-84,61
Meghalaya,1983-84,54
Mizoram,1983-84,–
Nagaland,1983-84,62
Sikkim,1983-84,16
Tripura,1983-84,61
Uttarakhand,1983-84,–
NCT Delhi,1983-84,–
Puducherry,1983-84,–
Andhra Pradesh,1984-85,1193
Bihar,1984-85,758
Chhattisgarh,1984-85,–
Goa,1984-85,–
Gujarat,1984-85,841
Haryana,1984-85,281
Jharkhand,1984-85,–
Karnataka,1984-85,658
Kerala,1984-85,618
Madhya Pradesh,1984-85,773
Maharashtra,1984-85,1434
Orissa,1984-85,406
Punjab,1984-85,388
Rajasthan,1984-85,625
Tamil Nadu,1984-85,972
Uttar Pradesh,1984-85,1333
West Bengal,1984-85,1115
Arunachal Pradesh,1984-85,–
Assam,1984-85,382
Himachal Pradesh,1984-85,156
Jammu and Kashmir,1984-85,215
Manipur,1984-85,65
Meghalaya,1984-85,54
Mizoram,1984-85,–
Nagaland,1984-85,62
Sikkim,1984-85,20
Tripura,1984-85,70
Uttarakhand,1984-85,–
NCT Delhi,1984-85,–
Puducherry,1984-85,–
Andhra Pradesh,1985-86,1470
Bihar,1985-86,1231
Chhattisgarh,1985-86,–
Goa,1985-86,–
Gujarat,1985-86,1046
Haryana,1985-86,369
Jharkhand,1985-86,–
Karnataka,1985-86,1010
Kerala,1985-86,918
Madhya Pradesh,1985-86,1083
Maharashtra,1985-86,1968
Orissa,1985-86,559
Punjab,1985-86,681
Rajasthan,1985-86,768
Tamil Nadu,1985-86,1444
Uttar Pradesh,1985-86,1861
West Bengal,1985-86,1202
Arunachal Pradesh,1985-86,–
Assam,1985-86,467
Himachal Pradesh,1985-86,223
Jammu and Kashmir,1985-86,273
Manipur,1985-86,80
Meghalaya,1985-86,70
Mizoram,1985-86,74
Nagaland,1985-86,84
Sikkim,1985-86,35
Tripura,1985-86,115
Uttarakhand,1985-86,–
NCT Delhi,1985-86,–
Puducherry,1985-86,–
Andhra Pradesh,1986-87,1849
Bihar,1986-87,1353
Chhattisgarh,1986-87,–
Goa,1986-87,91
Gujarat,1986-87,1252
Haryana,1986-87,360
Jharkhand,1986-87,–
Karnataka,1986-87,1150
Kerala,1986-87,942
Madhya Pradesh,1986-87,1237
Maharashtra,1986-87,2480
Orissa,1986-87,668
Punjab,1986-87,369
Rajasthan,1986-87,971
Tamil Nadu,1986-87,1559
Uttar Pradesh,1986-87,2075
West Bengal,1986-87,1500
Arunachal Pradesh,1986-87,78
Assam,1986-87,597
Himachal Pradesh,1986-87,251
Jammu and Kashmir,1986-87,338
Manipur,1986-87,118
Meghalaya,1986-87,79
Mizoram,1986-87,12
Nagaland,1986-87,110
Sikkim,1986-87,40
Tripura,1986-87,133
Uttarakhand,1986-87,–
NCT Delhi,1986-87,–
Puducherry,1986-87,–
Andhra Pradesh,1987-88,1884
Bihar,1987-88,1431
Chhattisgarh,1987-88,–
Goa,1987-88,86
Gujarat,1987-88,1537
Haryana,1987-88,488
Jharkhand,1987-88,–
Karnataka,1987-88,1361
Kerala,1987-88,976
Madhya Pradesh,1987-88,1527
Maharashtra,1987-88,2603
Orissa,1987-88,742
Punjab,1987-88,595
Rajasthan,1987-88,1439
Tamil Nadu,1987-88,1735
Uttar Pradesh,1987-88,2337
West Bengal,1987-88,1652
Arunachal Pradesh,1987-88,102
Assam,1987-88,681
Himachal Pradesh,1987-88,322
Jammu and Kashmir,1987-88,460
Manipur,1987-88,111
Meghalaya,1987-88,91
Mizoram,1987-88,126
Nagaland,1987-88,150
Sikkim,1987-88,46
Tripura,1987-88,170
Uttarakhand,1987-88,–
NCT Delhi,1987-88,–
Puducherry,1987-88,–
Andhra Pradesh,1988-89,2103
Bihar,1988-89,1849
Chhattisgarh,1988-89,–
Goa,1988-89,122
Gujarat,1988-89,1590
Haryana,1988-89,650
Jharkhand,1988-89,–
Karnataka,1988-89,1441
Kerala,1988-89,1109
Madhya Pradesh,1988-89,1810
Maharashtra,1988-89,2937
Orissa,1988-89,843
Punjab,1988-89,929
Rajasthan,1988-89,1412
Tamil Nadu,1988-89,1921
Uttar Pradesh,1988-89,2919
West Bengal,1988-89,1852
Arunachal Pradesh,1988-89,113
Assam,1988-89,727
Himachal Pradesh,1988-89,398
Jammu and Kashmir,1988-89,458
Manipur,1988-89,151
Meghalaya,1988-89,119
Mizoram,1988-89,117
Nagaland,1988-89,154
Sikkim,1988-89,57
Tripura,1988-89,216
Uttarakhand,1988-89,–
NCT Delhi,1988-89,–
Puducherry,1988-89,–
Andhra Pradesh,1989-90,2387
Bihar,1989-90,2027
Chhattisgarh,1989-90,–
Goa,1989-90,136
Gujarat,1989-90,1726
Haryana,1989-90,695
Jharkhand,1989-90,–
Karnataka,1989-90,1534
Kerala,1989-90,1197
Madhya Pradesh,1989-90,1877
Maharashtra,1989-90,3446
Orissa,1989-90,938
Punjab,1989-90,990
Rajasthan,1989-90,1405
Tamil Nadu,1989-90,2339
Uttar Pradesh,1989-90,3610
West Bengal,1989-90,2092
Arunachal Pradesh,1989-90,126
Assam,1989-90,769
Himachal Pradesh,1989-90,373
Jammu and Kashmir,1989-90,514
Manipur,1989-90,155
Meghalaya,1989-90,130
Mizoram,1989-90,130
Nagaland,1989-90,181
Sikkim,1989-90,56
Tripura,1989-90,227
Uttarakhand,1989-90,–
NCT Delhi,1989-90,–
Puducherry,1989-90,–
Andhra Pradesh,1990-91,2741
Bihar,1990-91,2381
Chhattisgarh,1990-91,–
Goa,1990-91,162
Gujarat,1990-91,1993
Haryana,1990-91,776
Jharkhand,1990-91,–
Karnataka,1990-91,1842
Kerala,1990-91,1477
Madhya Pradesh,1990-91,2439
Maharashtra,1990-91,3792
Orissa,1990-91,1113
Punjab,1990-91,957
Rajasthan,1990-91,1866
Tamil Nadu,1990-91,2985
Uttar Pradesh,1990-91,4711
West Bengal,1990-91,2824
Arunachal Pradesh,1990-91,128
Assam,1990-91,932
