Exp_Category,State,Year,Value
Social_sector_expenditure,Andhra Pradesh,1980-81,532
Social_sector_expenditure,Bihar,1980-81,452
Social_sector_expenditure,Chhattisgarh,1980-81,–
Social_sector_expenditure,Goa,1980-81,–
Social_sector_expenditure,Gujarat,1980-81,406
Social_sector_expenditure,Haryana,1980-81,137
Social_sector_expenditure,Jharkhand,1980-81,–
Social_sector_expenditure,Karnataka,1980-81,348
Social_sector_expenditure,Kerala,1980-81,391
Social_sector_expenditure,Madhya Pradesh,1980-81,397
Social_sector_expenditure,Maharashtra,1980-81,754
Social_sector_expenditure,Orissa,1980-81,274
Social_sector_expenditure,Punjab,1980-81,252
Social_sector_expenditure,Rajasthan,1980-81,323
Social_sector_expenditure,Tamil Nadu,1980-81,506
Social_sector_expenditure,Uttar Pradesh,1980-81,821
Social_sector_expenditure,West Bengal,1980-81,592
Social_sector_expenditure,Arunachal Pradesh,1980-81,–
Social_sector_expenditure,Assam,1980-81,171
Social_sector_expenditure,Himachal Pradesh,1980-81,106
Social_sector_expenditure,Jammu and Kashmir,1980-81,125
Social_sector_expenditure,Manipur,1980-81,41
Social_sector_expenditure,Meghalaya,1980-81,30
Social_sector_expenditure,Mizoram,1980-81,–
Social_sector_expenditure,Nagaland,1980-81,38
Social_sector_expenditure,Sikkim,1980-81,9
Social_sector_expenditure,Tripura,1980-81,49
Social_sector_expenditure,Uttarakhand,1980-81,–
Social_sector_expenditure,NCT Delhi,1980-81,–
Social_sector_expenditure,Puducherry,1980-81,–
Social_sector_expenditure,Andhra Pradesh,1981-82,613
Social_sector_expenditure,Bihar,1981-82,598
Social_sector_expenditure,Chhattisgarh,1981-82,–
Social_sector_expenditure,Goa,1981-82,–
Social_sector_expenditure,Gujarat,1981-82,472
Social_sector_expenditure,Haryana,1981-82,173
Social_sector_expenditure,Jharkhand,1981-82,–
Social_sector_expenditure,Karnataka,1981-82,400
Social_sector_expenditure,Kerala,1981-82,424
Social_sector_expenditure,Madhya Pradesh,1981-82,456
Social_sector_expenditure,Maharashtra,1981-82,847
Social_sector_expenditure,Orissa,1981-82,258
Social_sector_expenditure,Punjab,1981-82,280
Social_sector_expenditure,Rajasthan,1981-82,425
Social_sector_expenditure,Tamil Nadu,1981-82,605
Social_sector_expenditure,Uttar Pradesh,1981-82,824
Social_sector_expenditure,West Bengal,1981-82,691
Social_sector_expenditure,Arunachal Pradesh,1981-82,–
Social_sector_expenditure,Assam,1981-82,176
Social_sector_expenditure,Himachal Pradesh,1981-82,113
Social_sector_expenditure,Jammu and Kashmir,1981-82,134
Social_sector_expenditure,Manipur,1981-82,44
Social_sector_expenditure,Meghalaya,1981-82,35
Social_sector_expenditure,Mizoram,1981-82,–
Social_sector_expenditure,Nagaland,1981-82,40
Social_sector_expenditure,Sikkim,1981-82,11
Social_sector_expenditure,Tripura,1981-82,40
Social_sector_expenditure,Uttarakhand,1981-82,–
Social_sector_expenditure,NCT Delhi,1981-82,–
Social_sector_expenditure,Puducherry,1981-82,–
Social_sector_expenditure,Andhra Pradesh,1982-83,697
Social_sector_expenditure,Bihar,1982-83,673
Social_sector_expenditure,Chhattisgarh,1982-83,–
Social_sector_expenditure,Goa,1982-83,–
Social_sector_expenditure,Gujarat,1982-83,643
Social_sector_expenditure,Haryana,1982-83,235
Social_sector_expenditure,Jharkhand,1982-83,–
Social_sector_expenditure,Karnataka,1982-83,485
Social_sector_expenditure,Kerala,1982-83,441
Social_sector_expenditure,Madhya Pradesh,1982-83,547
Social_sector_expenditure,Maharashtra,1982-83,1031
Social_sector_expenditure,Orissa,1982-83,470
Social_sector_expenditure,Punjab,1982-83,292
Social_sector_expenditure,Rajasthan,1982-83,498
Social_sector_expenditure,Tamil Nadu,1982-83,798
Social_sector_expenditure,Uttar Pradesh,1982-83,1015
Social_sector_expenditure,West Bengal,1982-83,843
Social_sector_expenditure,Arunachal Pradesh,1982-83,–
Social_sector_expenditure,Assam,1982-83,215
Social_sector_expenditure,Himachal Pradesh,1982-83,128
Social_sector_expenditure,Jammu and Kashmir,1982-83,149
Social_sector_expenditure,Manipur,1982-83,47
Social_sector_expenditure,Meghalaya,1982-83,40
Social_sector_expenditure,Mizoram,1982-83,–
Social_sector_expenditure,Nagaland,1982-83,48
Social_sector_expenditure,Sikkim,1982-83,11
Social_sector_expenditure,Tripura,1982-83,47
Social_sector_expenditure,Uttarakhand,1982-83,–
Social_sector_expenditure,NCT Delhi,1982-83,–
Social_sector_expenditure,Puducherry,1982-83,–
Social_sector_expenditure,Andhra Pradesh,1983-84,1073
Social_sector_expenditure,Bihar,1983-84,677
Social_sector_expenditure,Chhattisgarh,1983-84,–
Social_sector_expenditure,Goa,1983-84,–
Social_sector_expenditure,Gujarat,1983-84,669
Social_sector_expenditure,Haryana,1983-84,242
Social_sector_expenditure,Jharkhand,1983-84,–
Social_sector_expenditure,Karnataka,1983-84,525
Social_sector_expenditure,Kerala,1983-84,557
Social_sector_expenditure,Madhya Pradesh,1983-84,677
Social_sector_expenditure,Maharashtra,1983-84,1282
Social_sector_expenditure,Orissa,1983-84,357
Social_sector_expenditure,Punjab,1983-84,354
Social_sector_expenditure,Rajasthan,1983-84,544
Social_sector_expenditure,Tamil Nadu,1983-84,931
Social_sector_expenditure,Uttar Pradesh,1983-84,1131
Social_sector_expenditure,West Bengal,1983-84,856
Social_sector_expenditure,Arunachal Pradesh,1983-84,–
Social_sector_expenditure,Assam,1983-84,339
Social_sector_expenditure,Himachal Pradesh,1983-84,139
Social_sector_expenditure,Jammu and Kashmir,1983-84,179
Social_sector_expenditure,Manipur,1983-84,61
Social_sector_expenditure,Meghalaya,1983-84,54
Social_sector_expenditure,Mizoram,1983-84,–
Social_sector_expenditure,Nagaland,1983-84,62
Social_sector_expenditure,Sikkim,1983-84,16
Social_sector_expenditure,Tripura,1983-84,61
Social_sector_expenditure,Uttarakhand,1983-84,–
Social_sector_expenditure,NCT Delhi,1983-84,–
Social_sector_expenditure,Puducherry,1983-84,–
Social_sector_expenditure,Andhra Pradesh,1984-85,1193
Social_sector_expenditure,Bihar,1984-85,758
Social_sector_expenditure,Chhattisgarh,1984-85,–
Social_sector_expenditure,Goa,1984-85,–
Social_sector_expenditure,Gujarat,1984-85,841
Social_sector_expenditure,Haryana,1984-85,281
Social_sector_expenditure,Jharkhand,1984-85,–
Social_sector_expenditure,Karnataka,1984-85,658
Social_sector_expenditure,Kerala,1984-85,618
Social_sector_expenditure,Madhya Pradesh,1984-85,773
Social_sector_expenditure,Maharashtra,1984-85,1434
Social_sector_expenditure,Orissa,1984-85,406
Social_sector_expenditure,Punjab,1984-85,388
Social_sector_expenditure,Rajasthan,1984-85,625
Social_sector_expenditure,Tamil Nadu,1984-85,972
Social_sector_expenditure,Uttar Pradesh,1984-85,1333
Social_sector_expenditure,West Bengal,1984-85,1115
Social_sector_expenditure,Arunachal Pradesh,1984-85,–
Social_sector_expenditure,Assam,1984-85,382
Social_sector_expenditure,Himachal Pradesh,1984-85,156
Social_sector_expenditure,Jammu and Kashmir,1984-85,215
Social_sector_expenditure,Manipur,1984-85,65
Social_sector_expenditure,Meghalaya,1984-85,54
Social_sector_expenditure,Mizoram,1984-85,–
Social_sector_expenditure,Nagaland,1984-85,62
Social_sector_expenditure,Sikkim,1984-85,20
Social_sector_expenditure,Tripura,1984-85,70
Social_sector_expenditure,Uttarakhand,1984-85,–
Social_sector_expenditure,NCT Delhi,1984-85,–
Social_sector_expenditure,Puducherry,1984-85,–
Social_sector_expenditure,Andhra Pradesh,1985-86,1470
Social_sector_expenditure,Bihar,1985-86,1231
Social_sector_expenditure,Chhattisgarh,1985-86,–
Social_sector_expenditure,Goa,1985-86,–
Social_sector_expenditure,Gujarat,1985-86,1046
Social_sector_expenditure,Haryana,1985-86,369
Social_sector_expenditure,Jharkhand,1985-86,–
Social_sector_expenditure,Karnataka,1985-86,1010
Social_sector_expenditure,Kerala,1985-86,918
Social_sector_expenditure,Madhya Pradesh,1985-86,1083
Social_sector_expenditure,Maharashtra,1985-86,1968
Social_sector_expenditure,Orissa,1985-86,559
Social_sector_expenditure,Punjab,1985-86,681
Social_sector_expenditure,Rajasthan,1985-86,768
Social_sector_expenditure,Tamil Nadu,1985-86,1444
Social_sector_expenditure,Uttar Pradesh,1985-86,1861
Social_sector_expenditure,West Bengal,1985-86,1202
Social_sector_expenditure,Arunachal Pradesh,1985-86,–
Social_sector_expenditure,Assam,1985-86,467
Social_sector_expenditure,Himachal Pradesh,1985-86,223
Social_sector_expenditure,Jammu and Kashmir,1985-86,273
Social_sector_expenditure,Manipur,1985-86,80
Social_sector_expenditure,Meghalaya,1985-86,70
Social_sector_expenditure,Mizoram,1985-86,74
Social_sector_expenditure,Nagaland,1985-86,84
Social_sector_expenditure,Sikkim,1985-86,35
Social_sector_expenditure,Tripura,1985-86,115
Social_sector_expenditure,Uttarakhand,1985-86,–
Social_sector_expenditure,NCT Delhi,1985-86,–
Social_sector_expenditure,Puducherry,1985-86,–
Social_sector_expenditure,Andhra Pradesh,1986-87,1849
Social_sector_expenditure,Bihar,1986-87,1353
Social_sector_expenditure,Chhattisgarh,1986-87,–
Social_sector_expenditure,Goa,1986-87,91
Social_sector_expenditure,Gujarat,1986-87,1252
Social_sector_expenditure,Haryana,1986-87,360
Social_sector_expenditure,Jharkhand,1986-87,–
Social_sector_expenditure,Karnataka,1986-87,1150
Social_sector_expenditure,Kerala,1986-87,942
Social_sector_expenditure,Madhya Pradesh,1986-87,1237
Social_sector_expenditure,Maharashtra,1986-87,2480
Social_sector_expenditure,Orissa,1986-87,668
Social_sector_expenditure,Punjab,1986-87,369
Social_sector_expenditure,Rajasthan,1986-87,971
