Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 18: ADMINISTRATIVE SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,121,141,164,197,212,289,240,301,341,396,425,511,617,704,802,832,940,1070,1221,1390,1722,1698,1691,1863,2003,2258,2702,4123,3888,4854
,2.Bihar,127,149,162,175,204,241,279,362,383,483,613,610,701,835,817,894,1032,1112,1291,1829,1703,1433,1435,1376,1471,1869,2171,2158,3091,3865
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,134,360,436,407,417,503,619,739,1274,1612
,4.Goa,–,–,–,–,–,–,15,13,17,20,23,25,29,32,36,42,54,57,69,76,87,92,97,105,113,128,149,175,263,288
,5.Gujarat,97,117,117,123,150,187,206,236,273,326,376,388,438,481,548,633,659,791,979,1050,1099,1038,1194,1181,1226,1273,1421,1623,1859,2240
,6.Haryana,40,47,54,52,64,73,80,107,116,144,157,183,206,234,285,308,343,402,533,517,588,628,689,717,801,949,1077,1226,1631,2083
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,852,887,874,999,1610,1690,1853,1874,2498
,8.Karnataka,60,78,90,88,140,134,154,192,210,268,285,356,409,479,549,624,704,796,896,1128,1126,1293,1312,1407,1548,1732,1929,2316,3810,4097
,9.Kerala,48,58,64,71,79,96,124,130,149,174,197,216,223,267,317,371,411,462,509,708,731,724,846,911,950,1023,1210,1473,1674,2007
,10.Madhya Pradesh,96,110,121,187,177,222,246,299,319,375,420,479,544,630,661,787,885,1009,1219,1327,1374,1289,1278,1233,1444,1436,1546,1757,2075,3115
,11.Maharashtra,209,245,271,325,440,453,515,544,671,706,868,977,1197,1344,1398,1658,1957,2273,2284,3170,3395,3334,3152,3387,3776,4207,4824,5504,6940,9948
,12.Orissa,50,63,69,80,85,95,133,139,147,165,169,207,251,246,297,339,430,445,558,675,652,813,555,669,675,753,913,1112,1685,2070
,13.Punjab,61,74,83,89,98,139,147,170,212,306,341,404,812,547,669,671,776,963,1096,1091,1178,1230,1419,1526,1412,1690,1837,2062,2475,3489
,14.Rajasthan,67,71,95,115,126,138,140,175,198,248,278,349,415,455,497,574,656,616,901,933,976,1000,1038,1108,1201,1330,1494,1630,2305,2763
,15.Tamil Nadu,118,136,141,148,189,232,259,276,318,383,463,528,605,696,794,913,1030,1196,1536,1669,1674,1655,1730,1793,2010,2129,2515,2704,3809,4404
,16.Uttar Pradesh,176,200,252,277,324,376,429,528,652,833,1006,1053,1233,1362,1487,1746,1965,2447,2412,2799,3244,3110,3100,3426,3609,3738,4297,4691,6216,9850
,17.West Bengal,119,141,163,180,192,232,265,310,355,395,546,539,551,711,737,835,976,1062,1371,1646,1794,1823,1735,1776,1871,1996,2332,2389,2652,3631
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,38,65,41,51,55,53,62,64,70,79,90,107,116,129,144,155,157,197,224,224,256,309,398,404
,2.Assam,54,60,71,94,110,134,144,156,167,183,236,293,291,346,382,453,455,543,653,788,823,910,858,879,919,1301,1211,1631,2642,3430
,3.Himachal Pradesh,22,26,28,32,42,43,46,61,77,84,90,99,113,132,149,169,190,223,266,295,308,332,347,344,350,427,543,584,689,727
,4.Jammu and Kashmir,30,30,45,60,67,69,78,114,112,132,157,181,248,265,303,401,501,578,801,1071,1145,1353,1414,1541,1495,1570,1775,2014,2295,2775
,5.Manipur,12,20,21,20,26,29,36,40,50,51,50,58,63,72,89,100,105,117,126,238,178,197,197,206,217,270,300,368,467,494
,6.Meghalaya,12,17,22,20,20,25,32,39,46,51,53,62,72,85,80,99,106,128,148,170,194,200,217,216,240,260,298,349,399,518
,7.Mizoram,–,–,–,–,–,24,6,41,40,41,44,49,57,67,77,104,102,109,109,140,164,167,190,185,194,221,257,273,372,496
,8.Nagaland,27,26,37,52,41,52,68,74,68,87,88,101,107,172,173,198,214,240,258,291,363,357,409,456,429,458,488,584,715,643
,9.Sikkim,4,3,4,3,3,8,7,10,12,12,14,16,20,23,26,30,36,39,63,61,64,67,83,82,91,103,120,144,184,210
,10.Tripura,14,13,18,23,20,26,32,37,55,61,66,72,79,112,86,106,111,147,175,216,240,258,274,304,311,377,434,494,614,978
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,90,314,359,416,436,461,558,582,848,901
,All States,1562,1825,2092,2409,2810,3318,3718,4418,5031,5974,7018,7809,9344,10361,11328,12967,14728,16933,19590,23406,25190,26680,27102,28581,30432,34298,38964,44866,57144,74389
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,112,336,424,222,142,166,182,209,214,269,266,312,324,356,417,539,631
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,94,102,113,162,155
,See 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
