Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 12: CAPITAL RECEIPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,325,323,304,546,668,773,906,917,1005,1237,1261,1567,1937,2553,3381,4457,4457,4863,6814,6221,8310,9732,11253,14244,19377,13454,13548,23767,20587,22073
,2.Bihar,702,468,388,692,711,919,835,1016,829,1283,1714,1903,1738,1752,1809,1727,-5116,2521,6772,5993,6112,4902,5154,5428,6210,5034,3524,4234,4959,6049
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,259,1325,1867,2634,2473,1451,1473,1470,3252,3636
,4.Goa,–,–,–,–,–,–,88,200,37,118,148,77,72,86,104,110,134,166,366,343,436,447,531,798,866,836,703,639,718,1106
,5.Gujarat,345,364,651,614,625,693,1268,1159,1230,1368,2131,2219,1892,1606,1915,2545,2762,3838,6212,7385,11181,9570,10388,14938,14695,12363,9454,10269,10532,15649
,6.Haryana,116,130,240,300,245,391,376,353,456,438,540,500,537,682,1128,3938,1523,1882,3030,2558,2542,2817,2414,5772,4437,2674,4824,1550,4912,7376
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1561,1816,1790,3623,2334,5149,4598,2344,3077
,8.Karnataka,308,282,413,479,695,963,668,927,826,1091,1349,1504,1305,1896,2067,1722,2404,2577,3676,4951,4972,6620,7425,8358,9420,6825,7997,4695,11313,12589
,9.Kerala,140,150,187,317,323,727,466,663,623,849,949,1081,1134,1316,1692,1563,1818,2414,3047,4939,3998,4298,6123,7713,7240,6364,5798,7519,7747,7795
,10.Madhya Pradesh,354,307,355,518,599,875,726,1074,867,1118,1284,1061,1340,1733,1912,1748,3453,3120,4244,4832,3627,6314,5175,9555,10097,8843,6002,3861,6886,9110
,11.Maharashtra,519,654,775,953,1366,1559,1474,1462,1971,2425,2300,3201,2481,2937,5543,5012,5596,7602,9335,11187,12913,11499,16701,27273,31061,22653,15086,3508,18972,29678
,12.Orissa,249,197,337,326,322,516,391,672,764,611,1008,1130,990,1315,1512,1504,1890,2497,3570,4423,3703,4588,5448,6476,4717,3980,2949,1446,5055,4795
,13.Punjab,196,296,250,559,771,883,503,1247,1273,1106,1463,1169,4309,1696,2059,1816,2295,2946,4431,5140,5000,6537,6493,7848,7535,5085,4808,7601,8792,9029
,14.Rajasthan,247,372,382,471,597,637,728,1021,1136,936,996,1935,1314,1764,2160,2829,3182,4690,4638,6917,5469,6236,9089,10800,11769,7462,7022,9604,9693,9865
,15.Tamil Nadu,420,587,574,754,687,764,727,1040,1060,1348,1466,2604,2842,2126,2702,2331,3428,3885,4591,5944,6431,5998,8278,11208,14042,11298,11320,9326,13646,14258
,16.Uttar Pradesh,704,615,850,1431,1677,1695,1939,1688,2450,2761,3818,3666,4678,3542,8796,6386,7017,8357,12655,11574,14076,11985,14610,37639,21774,22914,21375,18343,19818,27278
,17.West Bengal,366,444,614,627,881,763,904,1003,1038,1307,1827,1487,1597,1940,2739,2939,4922,4641,7706,11335,12226,12714,15244,20995,15150,19349,13072,17263,22405,25608
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,32,9,34,68,61,4,-18,-37,61,60,82,79,106,32,217,177,343,326,290,732,255,679,723,620
