Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 1: GROSS FISCAL DEFICIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,222,244,172,493,591,435,804,568,673,972,967,1125,1569,1833,2349,2417,2812,2428,5706,4976,7306,6723,7625,7450,8192,8300,5643,8787,10428,16152
,2.Bihar,336,409,435,328,396,326,461,825,535,994,1595,1617,1331,1339,1342,1571,891,981,2379,6108,4884,4010,4911,4107,1242,3700,3021,1705,7494,3696
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-48,1061,973,2204,1232,425,-33,128,2256,2564
,4.Goa,–,–,–,–,–,–,61,72,64,95,96,125,90,60,45,97,104,125,269,341,413,413,379,445,551,603,487,541,896,1389
,5.Gujarat,247,254,377,398,520,514,900,976,735,952,1798,1876,1174,526,1292,1746,2358,3175,5619,6792,7988,6511,6080,9161,8696,6270,5649,4771,10360,12148
,6.Haryana,112,102,189,134,235,230,170,216,289,393,386,375,444,480,535,986,1099,1128,2240,2133,2265,2740,1471,2933,1206,286,-1179,1264,3708,8557
