Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 16: INTEREST PAYMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,82,97,112,123,154,191,296,313,373,471,590,695,830,1025,1256,1529,1839,2153,2644,3101,3793,4584,6131,6856,7091,7008,7280,7589,8335,9104
,2.Bihar,107,98,125,150,180,222,282,347,378,578,754,1004,1241,1351,1561,1668,1417,1536,1872,2861,2374,2752,3216,3324,3474,3649,3416,3707,3796,4170
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,288,702,810,1054,1152,962,1026,1140,1094,1079
,4.Goa,–,–,–,–,–,–,21,33,16,26,30,57,59,68,69,90,101,118,144,178,212,256,292,321,323,400,427,447,549,572
,5.Gujarat,69,82,100,117,146,188,245,311,392,470,532,717,929,1046,1191,1328,1610,1884,2262,2808,3131,4206,4949,5805,6079,6143,6932,7484,7911,8496
,6.Haryana,37,46,52,59,81,98,133,150,161,206,242,322,343,422,487,556,716,820,997,1357,1492,1625,1946,2113,2235,2100,2265,2346,2354,3001
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,789,947,991,772,720,777,1982,2137,2429
,8.Karnataka,62,71,78,98,135,162,204,248,291,349,436,515,594,718,871,1048,1208,1394,1617,2012,2388,2683,3292,3710,3794,3765,4236,4506,4778,5578
,9.Kerala,46,57,61,92,121,127,177,213,245,293,341,483,543,687,820,924,1103,1286,1446,1952,2258,2490,2947,3328,3613,3799,4190,4330,4815,5312
,10.Madhya Pradesh,77,102,113,86,20,133,258,292,397,433,513,608,742,868,1094,1158,1376,1660,1835,2139,2411,2254,2502,3207,3661,3422,4029,4191,4484,4965
,11.Maharashtra,110,146,169,198,252,310,441,527,634,757,881,1160,1337,1510,1760,2055,2447,2904,3673,4884,5225,6429,7130,8335,8979,9347,11656,12204,12307,14351
,12.Orissa,50,67,80,96,101,126,172,207,304,310,365,481,542,683,787,929,1079,1292,1485,1238,2287,2835,2886,2860,3332,3697,3188,3169,4312,4593
,13.Punjab,62,74,84,90,152,147,175,161,219,234,332,361,411,1042,1244,1490,1634,1849,2317,2637,2343,3178,3434,3712,3982,3715,4152,4527,4856,5349
,14.Rajasthan,80,113,115,127,170,198,255,299,377,437,499,616,743,885,1036,1234,1553,1897,2243,2825,3339,3878,4300,4777,5172,5210,5702,5943,6242,6754
,15.Tamil Nadu,91,92,101,127,146,162,199,239,305,367,456,557,689,957,1090,1293,1476,1763,2122,2712,3124,3513,4133,4700,4755,4559,5506,6086,6055,6355
,16.Uttar Pradesh,157,177,215,254,338,321,543,694,815,1042,1279,1710,2042,2111,3089,3325,4061,4689,5517,6553,7455,8220,7060,10124,11873,9098,10477,10820,11275,11742
,17.West Bengal,109,117,170,184,244,275,334,394,449,530,627,827,966,1169,1327,1616,1940,2410,2950,4169,5250,6375,7666,9210,9623,9753,10879,11384,12367,13169
