Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 6: OWN TAX REVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,582,703,808,965,1174,1439,1559,1819,2122,2384,2647,3055,3389,3833,4227,4120,4882,7114,7961,9009,10552,12564,12618,13806,16254,19207,23926,28794,35740,40664
,2.Bihar,277,338,382,442,464,576,659,761,831,925,1142,1310,1564,1748,1836,1973,2251,2390,2672,3638,2935,2442,2765,3361,3342,3561,4033,5086,6356,7336
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,750,1993,2327,2588,3228,4052,5046,5618,6328,7030
,4.Goa,–,–,–,–,–,–,61,52,62,70,85,114,144,188,226,272,303,365,357,459,515,569,602,710,857,1096,1292,1359,1738,1861
,5.Gujarat,531,661,763,879,980,1075,1264,1526,1871,2160,2400,2893,3457,3942,4743,5323,6066,6591,7616,8162,9047,9247,9520,11173,12958,15698,18465,21886,24194,25450
,6.Haryana,234,291,337,366,406,502,566,664,795,910,1070,1300,1447,1589,1888,2169,2143,2369,3120,3518,4312,4972,5550,6348,7440,9079,10928,11618,14301,14647
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2076,2278,2278,2402,2888,3128,3550,5084,6052
,8.Karnataka,475,607,674,760,909,1076,1206,1415,1699,1932,2332,2900,3098,3812,4289,5274,5768,6412,6943,7744,9043,9853,10440,12570,16072,18632,23301,25987,28765,32721
,9.Kerala,337,374,438,487,622,731,814,925,1066,1233,1340,1674,1887,2345,2799,3383,3899,4501,4650,5194,5870,5923,7303,8089,8964,9779,11942,13669,15934,18228
,10.Madhya Pradesh,386,476,558,643,713,831,974,1115,1338,1578,1755,2117,2334,2677,2871,3518,4104,4564,5109,5795,5640,4702,6170,6789,7773,9115,10473,12018,14002,16075
,11.Maharashtra,1130,1384,1648,1823,1966,2377,2792,3219,3823,4401,5120,5954,6561,7696,9455,10934,11715,13719,14202,17265,19724,21288,22811,25162,30606,33540,40099,47528,50088,50986
,12.Orissa,132,160,174,201,228,286,338,387,443,525,669,674,762,860,923,1127,1342,1422,1487,1704,2184,2467,2872,3302,4177,5002,6065,6856,7672,8200
,13.Punjab,349,432,491,544,567,670,803,916,1041,1228,1291,1543,1759,2150,2599,2651,2735,3045,3262,3948,4895,4820,5711,6146,6945,8989,9017,9899,11547,14062
,14.Rajasthan,230,312,390,441,487,566,656,773,893,1073,1217,1549,1734,1950,2307,2731,3124,3611,3939,4531,5300,5671,6253,7246,8415,9880,11608,13275,15134,16742
,15.Tamil Nadu,639,842,1012,1145,1298,1548,1757,1762,1994,2489,3124,3734,4162,4801,5834,7151,7984,8686,9625,10919,12282,13010,14342,15945,19357,23326,27771,29619,34521,38578
,16.Uttar Pradesh,645,823,929,992,1140,1291,1529,1989,2066,2449,3162,3497,3886,4132,4878,5469,6306,6998,7910,9401,10980,10330,12767,13601,15693,18858,22998,24959,29191,33456
,17.West Bengal,514,616,638,769,937,1124,1219,1449,1735,1938,2134,2450,2609,2913,3730,4133,4259,4517,4775,5101,5918,6505,7046,8768,9924,10388,11695,13126,16223,19476
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,2,2,2,2,3,4,4,4,6,8,9,10,11,14,21,34,37,43,49,62,78,98,99,109
,2.Assam,66,90,108,136,189,235,245,249,279,333,420,512,518,613,632,702,767,882,983,1225,1413,1566,1935,2070,2713,3232,3483,3360,4039,4028
,3.Himachal Pradesh,34,42,48,54,61,74,92,103,118,142,161,193,222,256,299,342,412,476,572,620,728,916,888,984,1252,1497,1656,1958,2301,2700
,4.Jammu and Kashmir,38,60,62,71,79,104,118,123,138,133,163,165,207,225,244,285,289,367,437,578,748,858,976,1152,1400,1689,1903,2299,2693,3011
,5.Manipur,3,4,4,5,6,7,9,12,12,13,17,14,15,19,24,28,14,36,31,40,49,52,65,69,81,95,122,147,160,182
,6.Meghalaya,5,6,7,10,12,15,18,20,28,31,36,43,44,48,56,66,77,74,88,103,119,136,145,178,208,253,305,319,385,404
,7.Mizoram,–,–,–,–,–,2,–,4,2,3,3,3,5,5,5,6,7,8,9,11,14,19,28,34,40,55,68,78,95,116
,8.Nagaland,4,6,7,10,9,10,13,15,16,12,18,18,17,18,19,21,31,34,35,43,56,52,62,69,78,106,119,131,149,156
