Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 2: REVENUE DEFICIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,-104,-80,-133,89,169,7,189,-37,-33,238,158,170,124,-232,728,739,3199,703,2684,1233,3595,2881,3054,2962,2558,64,-2807,-159,-2067,-2407
,2.Bihar,-59,7,38,-72,-107,-298,-346,-190,-278,34,566,885,606,690,933,1079,216,264,1351,3550,2961,2342,2457,1107,-1076,-81,-2498,-4645,-3435,-6122
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-271,538,113,641,-146,-1381,-2647,-3039,-1049,-806
,4.Goa,–,–,–,–,–,–,1,7,-12,11,-7,10,-9,-33,-56,-33,-22,14,141,209,226,229,167,140,123,22,-141,-166,-83,348
,5.Gujarat,-122,-120,-66,-139,-68,70,309,286,127,126,703,576,300,-96,-262,222,591,1018,2863,3617,6302,6732,3565,3707,4037,399,-1770,-2150,-269,3913
,6.Haryana,-59,-51,-45,-76,-30,-106,-163,-17,2,95,20,32,2,-81,391,347,719,719,1540,1185,608,1056,685,274,258,-1213,-1590,-2224,-55,3384
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-101,331,-142,1111,1553,1090,1484,-628,277
,8.Karnataka,-59,-164,-42,-73,144,85,-79,110,39,147,79,179,170,-116,296,-62,579,277,1215,2325,1862,3285,2646,525,-1638,-2311,-4152,-3776,-767,-1151
,9.Kerala,28,-96,-27,58,14,74,152,195,164,250,422,364,337,371,400,403,643,1123,2030,3624,3147,2606,4122,3680,3669,3129,2638,3785,3729,3008
,10.Madhya Pradesh,-118,-229,-188,-176,-79,-70,-35,59,146,-98,201,44,-285,448,191,477,1448,469,2872,2932,1319,3168,1169,4476,-1717,-33,-3332,-5088,-3170,-1699
,11.Maharashtra,-121,-147,-210,-71,212,317,1,-74,241,374,55,276,729,122,-277,609,1591,2580,3926,4269,7834,8189,9371,8310,10033,3842,-810,-14803,-4263,7123
,12.Orissa,-81,-28,23,–,74,60,20,75,108,105,20,188,136,274,460,807,831,905,2265,2574,1927,2830,1576,1421,522,-481,-2261,-4244,-760,2369
,13.Punjab,-18,-63,-103,-59,9,-7,-90,229,244,221,544,481,636,767,742,450,1357,1484,2629,2727,2336,3781,3754,3563,3391,1242,1749,3823,3812,6234
,14.Rajasthan,-65,-34,-55,-45,76,2,60,356,219,30,-168,-49,110,301,425,702,866,582,2996,3640,2634,3796,3934,3424,2143,660,-638,-1653,283,1409
,15.Tamil Nadu,-128,-82,-102,-52,-17,-189,-103,283,274,479,553,1904,1526,692,416,311,1104,1364,3437,4400,3436,2739,4851,1565,703,-1951,-2648,-4545,-8,1024
,16.Uttar Pradesh,-183,-353,-192,106,147,-175,177,-252,605,1031,1228,725,1015,1149,2003,2341,3179,4624,8696,7253,6289,6182,5117,18583,6993,1268,-4901,-3449,-4106,-1573
,17.West Bengal,23,88,242,206,372,-83,188,115,137,477,1019,646,437,984,767,1250,2135,2294,4856,9287,7581,8856,8635,9149,8228,7391,8333,8147,12678,17940
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,-39,-50,-93,-32,-100,-158,-163,-148,-167,-247,-207,-172,-177,-199,-52,-28,-77,-184,8,-182,-695,-743,-770,350
,2.Assam,-165,37,44,137,136,6,-61,84,62,137,144,-270,-162,-416,309,200,-285,-287,-90,1005,780,881,319,685,292,-1509,-2210,-2581,-1886,6206
,3.Himachal Pradesh,-104,-22,-9,-33,-38,-108,-70,-41,70,61,95,-10,93,-114,308,150,155,529,1022,106,1331,861,1482,1607,1158,-92,-191,-850,-331,-257
,4.Jammu and Kashmir,15,-2,1,47,71,-7,-42,107,64,123,91,-104,-267,-459,-703,-741,-792,-808,400,542,1259,-736,-652,-1910,-1577,-1816,-1914,-2216,-3364,-4636
,5.Manipur,-41,-10,-20,-24,-38,-70,-50,-72,-65,-33,-89,-73,-82,-141,-84,-73,-100,-65,-108,287,86,161,87,44,-92,-404,-448,-1216,-1128,-949
,6.Meghalaya,-30,-8,-12,-25,-31,-48,-58,-66,-78,-50,-42,-36,-18,-18,-73,-104,-114,-12,-17,-16,-53,34,-84,-85,50,-72,-235,-188,-522,-218
,7.Mizoram,–,–,–,–,–,2,-22,52,-43,-64,-157,-79,-47,-84,-75,-62,-47,-60,-44,-59,193,260,109,-83,-107,-66,-252,-131,-239,-178
,8.Nagaland,-52,-8,-6,3,-38,-61,-34,-23,-41,46,5,-6,13,47,91,64,-9,11,13,36,–,-45,107,-547,-155,-207,-550,-424,-368,-740
,9.Sikkim,-7,-8,-13,-7,-19,-14,-32,-28,-36,-19,-31,-27,-30,-36,-20,-60,-39,-41,55,-2,-99,-143,-198,-160,-169,-197,-229,-351,-592,-422
,10.Tripura,-36,-6,-15,-5,-37,-41,-42,-20,-15,-7,2,-16,-54,–,-36,-151,-122,-22,-93,23,96,-54,81,-106,-394,-633,-851,-904,-743,-347
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-11,100,457,761,950,74,-896,-637,-600,213
,All States,-1486,-1380,-888,-211,923,-654,-169,1088,1806,3682,5309,5651,5114,3872,6706,8620,16878,17492,44462,54549,55316,60398,57179,63407,39158,7013,-24857,-42943,-10701,32295
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,-59,-550,-419,-764,-1159,-820,-751,-1748,-1210,-2068,-2261,-2735,-4328,-4438,-5142,-3612,-5396
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-7,43,65,714,127
,Minus sign (-) indicates surplus in deficit indicator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Also see 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
