Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 15: REVENUE EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,1161,1386,1507,2042,2463,2781,3245,3441,4246,4715,5505,6452,7190,8018,9514,10614,14392,14544,16944,18038,23070,24726,26057,29830,31307,34915,41438,53984,67619,76557
,2.Bihar,929,1167,1357,1432,1687,2098,2277,2619,3211,3945,4888,5739,6570,7319,7731,8456,8254,8957,10623,16128,14345,12560,14025,14632,14638,17756,20585,23565,32883,35715
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1612,4914,5530,6600,7103,7457,8802,10840,15729,18091
,4.Goa,–,–,–,–,–,–,172,169,199,228,275,332,380,431,477,785,789,1122,1288,1437,1709,2101,2000,1764,1943,2191,2468,2778,3723,4485
,5.Gujarat,903,1039,1283,1426,1701,1972,2469,3093,3362,3727,4082,5238,6211,6934,7544,8766,10259,12143,15606,17517,22041,22718,21440,21954,24302,25465,29232,33540,39415,45728
,6.Haryana,401,486,567,623,761,854,967,1288,1443,1702,1933,2274,2379,3401,6273,5362,6767,6617,7019,6952,7181,8657,9342,10117,11407,12640,16362,17527,21715,25821
