Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 5: REVENUE RECEIPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,1265,1466,1639,1953,2294,2773,3056,3478,4279,4477,5347,6282,7066,8251,8786,9875,11193,13841,14260,16805,19475,21845,23003,26869,28750,34851,44245,54143,69686,78964
,2.Bihar,988,1160,1319,1504,1794,2396,2623,2809,3489,3911,4322,4854,5964,6629,6798,7377,8038,8693,9272,12579,11385,10219,11569,13525,15714,17837,23083,28210,36317,41837
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1883,4376,5417,5959,7249,8839,11450,13879,16778,18897
,4.Goa,–,–,–,–,–,–,171,162,211,217,283,322,389,464,534,818,810,1108,1147,1228,1483,1873,1833,1623,1820,2169,2610,2944,3806,4137
,5.Gujarat,1025,1160,1349,1565,1770,1903,2160,2806,3236,3601,3379,4663,5911,7030,7806,8544,9668,11125,12743,13900,15739,15986,17875,18248,20265,25067,31002,35690,39684,41815
,6.Haryana,460,536,612,699,791,960,1130,1304,1441,1607,1913,2242,2378,3482,5882,5015,6048,5898,5479,5767,6574,7601,8657,9843,11149,13853,17952,19751,21771,22437
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6100,7406,7443,7307,8203,10144,11612,16107,17936
,8.Karnataka,954,1167,1281,1490,1740,2013,2284,2557,2964,3336,3892,4775,5422,6325,6968,8543,9622,10613,11230,12907,14823,15321,16169,20760,26570,30352,37587,41151,42818,48389
,9.Kerala,640,851,810,934,1125,1371,1503,1586,1897,2048,2403,2852,3319,3922,4666,5424,6145,7118,7198,7942,8731,9056,10634,11815,13500,15295,18187,21107,25063,28154
,10.Madhya Pradesh,1134,1344,1516,1800,1813,2174,2567,2994,3472,3877,4545,5377,6443,7070,7618,8654,10014,11257,11346,13204,13667,11201,13390,14289,19743,20597,25694,30689,34949,39961
,11.Maharashtra,2038,2386,2838,3252,3668,4174,4978,5579,6300,7529,8699,9773,10818,12987,15090,16559,19255,20317,21737,25270,29567,30093,31103,34371,41013,48438,62195,79583,82870,89061
,12.Orissa,621,602,802,783,823,941,1228,1333,1551,1741,2171,2447,2913,3208,3576,3891,4287,4632,4554,5885,6902,7048,8439,9440,11850,14085,18033,21967,26810,26550
,13.Punjab,568,683,786,879,932,1170,1293,1405,1624,1800,1976,3716,2787,3277,5301,5185,5569,6351,5756,7468,9377,8929,11071,12139,13807,16966,16795,19238,22919,24072
,14.Rajasthan,753,857,1009,1143,1227,1506,1807,2183,2352,2668,3648,4129,4888,5597,6322,7630,7560,8404,8579,9790,12402,12153,13082,15424,17764,20839,25592,30781,34383,38268
,15.Tamil Nadu,1280,1442,1678,1963,2228,2638,2879,3092,3489,4252,5088,6776,7016,8066,9219,10599,11961,13587,14261,16328,18317,18818,20837,23706,28452,33960,40913,47521,55410,58271
,16.Uttar Pradesh,1899,2260,2556,2656,3145,3877,4172,5332,5652,6623,8310,9675,11676,12131,13393,15215,16029,17571,17379,21495,24743,25598,27821,31638,37617,45349,60600,68672,85146,94440
,17.West Bengal,1092,1224,1379,1533,1779,2343,2510,2912,3337,3494,4109,4678,5227,5921,6864,7376,8227,9028,9387,10211,14522,14538,14525,16609,19918,23726,25828,30167,40777,42312
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,212,296,307,289,358,446,503,546,606,754,809,837,924,1020,960,1058,1108,1576,1502,1849,2592,3003,3682,3257
,2.Assam,522,366,439,551,699,938,1210,1241,1373,1532,1777,2418,2613,3318,2961,3376,3856,4326,4507,4841,5638,5965,6793,7765,9937,12045,13667,15325,23307,23064
,3.Himachal Pradesh,292,234,272,317,382,519,534,650,698,721,807,992,1053,1465,1306,1754,1992,2170,2312,3715,3046,3716,3659,3981,4635,6559,7835,9142,10051,10478
,4.Jammu and Kashmir,258,299,325,376,438,602,695,754,902,958,1158,1625,2049,2227,3027,3256,3690,4288,4509,5514,5427,6858,7065,8506,9765,11540,11981,13901,15811,19362
,5.Manipur,111,95,113,130,171,226,248,287,343,332,396,451,480,579,592,692,808,863,897,1070,1045,1177,1328,1420,1743,2409,2863,3508,3948,4005
,6.Meghalaya,90,82,97,124,148,183,214,257,302,309,353,404,429,501,530,684,731,697,833,944,1132,1123,1289,1399,1546,1747,2142,2441,3703,3806
,7.Mizoram,–,–,–,–,–,130,68,194,274,304,462,400,421,503,538,627,668,722,735,954,828,868,1022,1371,1502,1654,1969,2040,2702,3009
,8.Nagaland,144,108,134,162,201,265,297,351,385,347,417,495,514,632,631,781,874,993,1036,1144,1420,1496,1399,2360,1840,2267,2773,2996,3443,3910
,9.Sikkim,37,39,48,56,77,92,113,127,149,134,160,182,209,225,546,941,1158,1300,1441,1512,863,1807,2081,1341,1892,1964,2117,2699,2972,2989
,10.Tripura,123,97,124,145,183,231,275,314,396,427,495,563,604,643,741,937,1029,1082,1268,1439,1638,1867,1880,2168,2577,3024,3333,3698,4198,4614
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,924,2733,3218,3600,4086,5537,7373,7891,8754,10948
,All States,16293,18455,21126,24014,27426,33424,38225,44002,50420,56536,66467,80536,91091,104997,120303,134507,150041,166820,172787,202927,232509,249422,273674,309187,363512,431021,530556,623748,737865,804943
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,567,1980,2297,2796,3481,3660,4274,5444,6254,6666,7349,8563,10844,12194,14912,16015,19099
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1802,1884,2136,2438,3067
,See 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
