Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 4: AGGREGATE RECEIPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,1590,1790,1943,2500,2961,3546,3962,4396,5284,5714,6609,7849,9003,10803,12167,14332,15650,18704,21073,23025,27785,31577,34256,41113,48127,48305,57794,77909,90273,101037
,2.Bihar,1691,1628,1707,2196,2505,3314,3458,3825,4318,5194,6035,6757,7701,8381,8606,9104,2922,11214,16044,18572,17497,15120,16723,18953,21924,22870,26607,32444,41276,47886
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2142,5701,7284,8593,9722,10290,12923,15348,20030,22534
,4.Goa,–,–,–,–,–,–,259,361,248,336,431,399,461,550,638,928,945,1274,1513,1571,1919,2319,2364,2421,2687,3005,3312,3583,4524,5242
,5.Gujarat,1370,1524,2001,2180,2394,2596,3428,3965,4466,4969,5510,6881,7803,8636,9721,11089,12430,14964,18954,21286,26920,25556,28263,33185,34960,37430,40456,45959,50216,57464
,6.Haryana,576,666,852,998,1036,1351,1506,1657,1897,2045,2454,2742,2915,4164,7011,8953,7571,7780,8509,8325,9116,10418,11071,15615,15586,16527,22776,21301,26683,29813
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7660,9222,9233,10931,10536,15294,16210,18452,21013
,8.Karnataka,1262,1448,1693,1969,2435,2976,2953,3483,3790,4427,5241,6279,6727,8221,9035,10266,12026,13190,14907,17857,19795,21942,23594,29118,35990,37177,45584,45846,54131,60978
,9.Kerala,781,1000,997,1251,1448,2099,1969,2250,2520,2896,3352,3933,4453,5238,6358,6987,7964,9533,10245,12881,12729,13354,16757,19529,20740,21659,23985,28626,32810,35949
,10.Madhya Pradesh,1488,1651,1871,2318,2412,3048,3293,4068,4339,4995,5829,6438,7783,8803,9530,10402,13467,14378,15590,18036,17294,17515,18565,23844,29840,29440,31696,34549,41835,49071
,11.Maharashtra,2557,3039,3613,4205,5034,5733,6452,7041,8270,9954,10999,12974,13299,15924,20633,21571,24852,27919,31072,36457,42480,41592,47804,61643,72074,71091,77281,83091,101842,118739
,12.Orissa,870,798,1139,1109,1145,1457,1619,2005,2314,2352,3179,3578,3903,4523,5088,5394,6177,7129,8125,10308,10605,11636,13886,15916,16567,18065,20982,23413,31865,31345
,13.Punjab,764,979,1036,1438,1703,2053,1795,2652,2897,2906,3439,4885,7095,4973,7360,7001,7864,9297,10186,12607,14377,15466,17565,19986,21342,22052,21603,26839,31711,33101
,14.Rajasthan,1000,1229,1391,1614,1824,2143,2534,3205,3489,3603,4644,6064,6201,7361,8481,10459,10742,13094,13217,16707,17871,18389,22171,26224,29533,28301,32614,40385,44076,48133
,15.Tamil Nadu,1700,2029,2252,2716,2914,3402,3606,4132,4549,5600,6554,9379,9859,10192,11922,12930,15390,17472,18852,22272,24747,24816,29114,34914,42493,45258,52233,56846,69057,72529
,16.Uttar Pradesh,2602,2875,3406,4086,4822,5572,6111,7020,8103,9384,12129,13341,16355,15673,22189,21602,23045,25928,30034,33069,38819,37582,42431,69277,59392,68263,81974,87016,104965,121718
,17.West Bengal,1457,1668,1993,2160,2659,3106,3414,3915,4376,4802,5936,6165,6824,7861,9602,10315,13149,13668,17092,21546,26749,27253,29769,37604,35068,43074,38900,47431,63182,67920
