Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE  14: AGGREGATE EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,1610,1831,1933,2588,3119,3413,4068,4294,5223,5768,6581,7758,8984,10541,12459,14301,16265,17745,21958,22767,28119,31074,34373,40120,47153,48306,56648,74875,90228,100990
,2.Bihar,1791,1871,1940,2144,2408,2966,3360,3914,4324,5219,6217,6805,7743,8433,8555,9417,9407,10216,12171,19548,16946,14869,17752,19134,20055,22568,27136,31573,45508,47446
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1917,5624,6822,8951,9647,9725,11991,15029,20234,22820
,4.Goa,–,–,–,–,–,–,255,258,284,327,395,466,499,558,601,943,946,1270,1458,1614,1962,2353,2401,2416,2541,2849,3176,3559,4881,5719
,5.Gujarat,1442,1565,1949,2178,2463,2625,3323,4089,4374,4844,5470,6908,7987,8408,9498,10811,12576,14875,19172,21466,27175,25651,26921,32986,34900,34235,39200,42681,52800,57417
,6.Haryana,607,696,917,960,1120,1315,1509,1663,1879,2121,2397,2727,2956,4109,6912,6131,7831,7806,8581,8359,9159,10728,10582,15122,14442,14830,19638,22079,26826,32445
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7934,9809,9738,11635,13417,15726,18360,20641,22992
,8.Karnataka,1302,1409,1739,2002,2615,2894,3069,3437,3778,4401,4979,6248,7100,8089,8859,10406,11981,12601,14886,17818,19664,21938,24074,29267,34246,34973,44085,48031,54178,61064
,9.Kerala,855,1086,996,1322,1572,1969,2162,2251,2521,2889,3376,4005,4363,5138,5959,6922,7943,9818,10611,12900,13149,13132,16967,19769,20276,21115,23159,28692,32990,36031
