Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 22 : SOCIAL SECTOR EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Andhra Pradesh,532,613,697,1073,1193,1470,1849,1884,2103,2387,2741,3121,3662,3919,4265,5507,6284,6759,8927,8831,10006,10876,11179,13367,13821,14900,18654,24471,36786,35668
,2.Bihar,452,598,673,677,758,1231,1353,1431,1849,2027,2381,3073,3143,3434,3524,3796,4014,4375,5354,8338,7408,5783,6466,7023,6117,8663,11127,13815,20505,21136
,3.Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,968,2435,2820,3244,3635,4295,5707,6947,10587,12255
,4.Goa,–,–,–,–,–,–,91,86,122,136,162,181,192,216,223,257,292,350,415,470,518,543,626,686,798,880,1010,1124,1614,1784
,5.Gujarat,406,472,643,669,841,1046,1252,1537,1590,1726,1993,2344,2456,2844,3273,3666,4068,4953,6609,7571,9681,9029,8177,8992,10127,10995,13104,14893,18527,21316
,6.Haryana,137,173,235,242,281,369,360,488,650,695,776,781,955,1093,1304,1698,1628,1829,2474,2572,3387,3675,2810,2818,3497,4742,5605,7343,9826,12154
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3727,4904,4320,5127,6156,7392,7984,9870,10322
,8.Karnataka,348,400,485,525,658,1010,1150,1361,1441,1534,1842,2299,2557,3063,3449,3995,4526,4886,5851,6803,7541,7642,7570,8315,9764,11675,14407,17644,20707,24526
,9.Kerala,391,424,441,557,618,918,942,976,1109,1197,1477,1594,1791,2061,2387,2691,3215,4239,4660,5432,5242,4932,6338,5924,7344,7524,7189,9010,11313,12734
,10.Madhya Pradesh,397,456,547,677,773,1083,1237,1527,1810,1877,2439,2664,3020,3508,3854,4416,5267,5622,6887,7417,7153,6007,7158,6787,7268,9425,10658,12600,16489,18735
,11.Maharashtra,754,847,1031,1282,1434,1968,2480,2603,2937,3446,3792,4601,5561,6204,6723,8361,9195,10609,11407,12844,15429,15452,15704,18877,20433,24268,28276,29721,38515,59821
,12.Orissa,274,258,470,357,406,559,668,742,843,938,1113,1310,1492,1747,1864,2188,2467,2636,3246,4889,4065,4122,4210,4360,4598,5386,6127,8196,13010,14037
,13.Punjab,252,280,292,354,388,681,369,595,929,990,957,1099,1058,1335,1565,1767,1231,2242,3054,2724,3887,3730,2990,3525,3747,4052,4706,4991,8735,9051
,14.Rajasthan,323,425,498,544,625,768,971,1439,1412,1405,1866,2036,2393,2783,3291,3912,4324,4697,5953,6377,7224,7730,8032,9228,9845,10920,12580,14683,19313,22735
,15.Tamil Nadu,506,605,798,931,972,1444,1559,1735,1921,2339,2985,3433,3929,4251,4550,5145,6210,6654,8153,8862,9618,9190,9662,11586,13617,14297,16921,19994,27381,28052
,16.Uttar Pradesh,821,824,1015,1131,1333,1861,2075,2337,2919,3610,4711,4443,5573,5212,6031,6466,7693,9080,10477,11669,12135,12279,13103,12999,16932,20141,24032,30006,41784,45473
,17.West Bengal,592,691,843,856,1115,1202,1500,1652,1852,2092,2824,2716,2747,3323,3827,4097,4991,5180,6626,9338,9623,9581,8463,9008,9732,11445,13142,16192,20968,28472
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,78,102,113,126,128,137,172,198,217,263,317,334,332,372,325,449,421,620,650,742,843,953,1338,1107
,2.Assam,171,176,215,339,382,467,597,681,727,769,932,1113,1138,1397,1538,1815,1708,1892,2151,2640,3077,3035,3233,3709,4775,4452,5220,6056,9910,11428
,3.Himachal Pradesh,106,113,128,139,156,223,251,322,398,373,444,495,581,621,731,881,994,1242,1553,1701,1963,1912,1973,2348,2328,2804,3334,3736,4849,4571
,4.Jammu and Kashmir,125,134,149,179,215,273,338,460,458,514,600,732,887,901,1047,1223,1393,1623,1496,1726,2044,2321,2518,2493,3104,4030,4348,5108,5609,6631
,5.Manipur,41,44,47,61,65,80,118,111,151,155,151,185,196,210,241,307,384,416,391,605,449,550,562,603,873,939,1041,1179,1517,1205
,6.Meghalaya,30,35,40,54,54,70,79,91,119,130,160,189,198,238,216,288,314,338,390,502,578,565,570,640,741,767,873,1039,1483,1801
,7.Mizoram,–,–,–,–,–,74,12,126,117,130,153,173,200,212,239,292,343,320,379,506,505,542,562,652,647,722,798,940,1351,1336
,8.Nagaland,38,40,48,62,62,84,110,150,154,181,182,179,224,269,299,364,353,370,415,479,585,544,567,644,629,804,914,1053,1304,1306
,9.Sikkim,9,11,11,16,20,35,40,46,57,56,61,73,81,90,101,151,166,188,254,245,259,314,348,406,479,501,547,663,938,1067
,10.Tripura,49,40,47,61,70,115,133,170,216,227,264,286,261,324,383,429,517,594,673,776,896,968,974,963,1121,1121,1206,1399,1940,2133
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,355,1320,1708,2027,2327,2781,3226,3726,3679,5542
,All States,6755,7656,9352,10788,12418,17031,19609,22651,25998,29059,35132,39255,44468,49451,55143,63975,71896,81427,98127,113690,124919,129253,133648,146164,164077,189430,222988,265466,359849,416395
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,386,1155,1365,1714,2043,2245,2461,3000,2989,3492,3465,4267,4566,5139,7353,9471,10290
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,797,800,927,1362,1724
,See 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
